YEAR,MAX,MIN
1946,64.4,54.3
1947,53.4,22.5
1948,29.3,16.3
1949,27.3,10.4
1950,25.3,10.4
1951,40.3,32.4
1952,56.3,34.0
1953,49.3,35.4
1954,38.3,18.3
1955,34.3,21.4
1956,32.4,28.4
1957,35.4,24.4
1958,14.0,-6.7
1959,40.3,25.0
1960,30.9,14.4
1961,33.4,13.3
1962,31.3,20.3
1963,51.1,23.4
1964,32.4,10.4
1965,47.3,24.4
1966,61.0,41.0
1967,41.0,37.9
1968,30.4,12.9
1969,35.1,27.0
1973,38.8,28.0
1974,36.0,21.0
1975,34.0,28.0
1976,18.9,3.9
1977,24.1,7.9
1978,34.9,10.9
1979,45.0,23.9
1980,59.0,37.9
1981,52.0,30.0
1982,36.0,23.0
1983,26.1,14.0
1984,48.0,7.0
1985,39.0,21.9
1986,39.9,34.0
1987,50.0,34.0
1988,42.1,19.0
1989,30.0,12.0
1990,46.9,19.9
1991,60.1,39.0
1992,30.0,23.0
1993,39.0,24.1
1994,36.0,25.0
1995,30.9,18.0
1996,33.1,27.0
1997,30.9,26.1
1998,44.1,30.9
1999,48.0,26.6
2000,30.2,15.8
2001,46.9,35.1
2002,41.0,21.0
2003,45.0,26.2
2004,50.0,36.0
2005,27.0,0.0
2006,19.9,3.9
2007,30.0,12.9
2008,33.1,3.9
2009,35.1,25.0
2010,25.0,10.9
2011,36.0,24.1
2012,46.0,36.0
2013,30.0,9.0
2014,37.0,26.2
2015,46.0,27.1
2016,27.0,17.1
2017,37.0,18.0
2018,32.0,16.0
