YEAR,MAX,MIN
1947,86.0,68.4
1948,72.3,60.3
1949,68.4,42.4
1950,73.4,64.4
1951,68.4,62.4
1952,79.3,63.3
1953,99.3,73.4
1954,79.3,55.4
1955,76.3,50.4
1956,77.4,60.3
1957,91.2,69.3
1958,68.4,51.3
1959,75.4,64.0
1960,92.3,73.0
1961,88.3,68.4
1962,79.0,53.4
1963,82.4,51.4
1964,72.3,51.4
1965,71.4,51.4
1966,87.1,61.0
1967,71.1,42.1
1968,73.4,57.4
1969,84.9,66.0
1973,90.0,72.9
1974,70.0,52.0
1975,84.9,64.9
1976,82.9,63.0
1977,90.0,68.0
1978,82.9,57.9
1979,86.0,68.0
1980,84.9,71.1
1981,84.9,66.9
1982,82.0,62.1
1983,82.9,57.9
1984,96.1,51.1
1985,81.0,52.0
1986,82.0,54.0
1987,78.1,50.0
1988,82.9,57.0
1989,86.0,61.0
1990,88.0,57.0
1991,78.1,60.1
1992,75.0,50.0
1993,75.0,54.0
1994,71.1,51.1
1995,87.1,61.0
1996,84.0,63.0
1997,84.0,57.0
1998,78.1,60.1
1999,84.9,55.9
2000,93.0,66.9
2001,75.0,55.9
2002,84.9,62.1
2003,70.0,61.0
2004,82.9,55.9
2005,84.9,62.1
2006,75.0,64.0
2007,81.0,57.0
2008,90.0,62.1
2009,72.0,46.9
2010,88.0,71.1
2011,93.0,66.0
2012,91.9,71.1
2013,84.9,64.9
2014,88.0,70.0
2015,88.0,62.1
2016,75.9,62.1
2017,73.0,57.9
2018,86.0,61.0
