YEAR,MAX,MIN
1948,89.2,63.3
1949,90.3,70.3
1950,86.4,65.3
1951,78.3,54.3
1952,79.3,65.3
1953,82.4,52.3
1954,76.3,60.3
1955,85.3,65.3
1956,86.4,61.3
1957,78.3,68.4
1958,91.2,66.4
1959,82.4,61.0
1960,75.9,60.4
1961,82.0,69.4
1962,77.4,59.4
1963,80.4,55.9
1964,83.3,55.0
1965,71.1,57.9
1966,70.0,63.0
1967,69.1,55.0
1968,86.0,59.4
1969,78.1,61.0
1973,82.9,66.9
1974,75.0,72.0
1975,89.1,73.9
1976,84.9,59.0
1977,87.1,73.9
1978,86.0,62.1
1979,90.9,70.9
1980,90.0,68.9
1981,82.0,59.9
1982,73.9,55.9
1983,91.0,66.9
1984,93.0,64.0
1985,90.0,71.1
1986,86.0,57.9
1987,80.1,62.1
1988,84.9,73.0
1989,82.9,59.0
1990,82.9,55.0
1991,82.0,57.9
1992,93.0,66.9
1993,86.0,61.0
1994,66.9,53.1
1995,89.1,69.1
1996,75.9,61.0
1997,82.0,68.0
1998,88.0,72.0
1999,87.1,64.9
2000,88.0,61.0
2001,91.0,66.2
2002,89.1,57.0
2003,84.9,61.0
2004,84.9,60.1
2005,95.0,64.9
2006,86.0,68.0
2007,86.0,71.1
2008,80.1,57.9
2009,91.0,70.0
2010,89.1,72.0
2011,80.1,61.0
2012,75.9,62.1
2013,82.0,59.0
2014,81.0,66.0
2015,84.0,66.9
2016,89.1,66.9
2017,84.0,61.0
2018,89.1,69.1
