YEAR,MAX,MIN
1946,50.4,30.4
1947,35.4,18.3
1948,45.3,33.4
1949,58.3,41.4
1950,43.3,19.4
1951,63.3,49.3
1952,64.4,33.4
1953,59.4,25.3
1954,67.3,36.3
1955,63.3,45.3
1956,60.3,27.3
1957,51.3,43.3
1958,65.3,46.0
1959,35.4,26.4
1960,63.3,37.0
1961,55.9,44.4
1962,57.4,26.1
1963,39.4,30.9
1964,61.3,37.9
1965,48.9,29.3
1966,48.9,24.1
1967,42.1,30.4
1968,43.3,25.0
1969,45.0,27.0
1973,61.0,51.1
1974,36.0,30.9
1975,37.9,33.1
1976,39.9,18.0
1977,39.9,23.0
1978,63.0,43.9
1979,43.9,32.9
1980,60.1,35.1
1981,55.9,30.9
1982,30.9,19.9
1983,39.0,19.0
1984,46.0,21.0
1985,48.0,39.9
1986,30.0,6.1
1987,60.1,30.9
1988,53.1,36.0
1989,73.0,30.9
1990,48.0,27.0
1991,55.9,33.1
1992,46.9,28.0
1993,64.0,32.0
1994,64.9,39.9
1995,30.9,14.0
1996,28.0,24.1
1997,36.0,23.0
1998,53.1,35.1
1999,71.1,34.0
2000,46.9,30.2
2001,63.0,28.2
2002,55.9,35.1
2003,42.1,30.0
2004,46.9,26.1
2005,64.9,43.0
2006,46.0,34.0
2007,66.0,33.1
2008,55.0,37.9
2009,55.9,28.2
2010,57.0,42.1
2011,70.0,54.0
2012,41.0,24.1
2013,39.9,19.9
2014,30.9,24.1
2015,55.9,35.1
2016,55.9,31.1
2017,39.9,30.9
2018,34.0,19.0
