YEAR,MAX,MIN
1946,75.4,39.4
1947,66.4,54.3
1948,51.3,39.4
1949,59.4,41.4
1950,54.3,49.3
1951,52.3,45.3
1952,70.3,36.3
1953,71.2,51.3
1954,70.3,43.3
1955,75.4,52.3
1956,64.4,49.3
1957,59.4,55.4
1958,67.3,39.4
1959,64.9,48.4
1960,66.0,36.3
1961,52.3,33.4
1962,48.0,29.3
1963,85.3,55.4
1964,53.4,22.3
1965,51.4,36.3
1966,62.1,35.1
1967,75.9,54.0
1968,56.3,42.1
1969,48.0,25.0
1973,75.0,45.0
1974,64.9,52.0
1975,75.9,61.0
1976,48.9,28.9
1977,57.9,45.9
1978,57.0,45.0
1979,55.9,38.8
1980,66.9,37.0
1981,51.1,25.9
1982,54.0,21.9
1983,55.0,46.9
1984,54.0,28.0
1985,66.9,43.0
1986,75.0,50.0
1987,53.1,28.9
1988,52.0,32.0
1989,72.0,30.9
1990,60.1,30.9
1991,75.9,50.0
1992,75.0,59.0
1993,68.0,32.0
1994,72.0,43.0
1995,70.0,35.1
1996,62.1,37.4
1997,52.0,28.9
1998,63.0,39.9
1999,60.1,37.9
2000,71.1,48.0
2001,64.9,48.9
2002,50.0,39.0
2003,55.0,41.0
2004,75.9,45.0
2005,54.0,32.0
2006,48.9,34.0
2007,66.9,43.0
2008,57.9,37.9
2009,61.0,48.0
2010,64.9,53.1
2011,68.0,34.0
2012,70.0,48.9
2013,46.0,30.2
2014,59.0,35.1
2015,62.1,51.1
2016,73.0,37.0
2017,54.0,51.1
2018,64.0,39.0
