YEAR,MAX,MIN
1947,41.4,28.4
1948,20.3,6.4
1949,29.3,18.3
1950,36.3,31.3
1951,36.3,30.4
1952,37.4,31.3
1953,59.4,38.3
1954,39.4,32.4
1955,65.3,38.3
1956,52.3,27.3
1957,56.3,44.4
1958,37.4,28.4
1959,38.3,27.0
1960,28.0,19.9
1961,41.4,30.4
1962,39.4,32.0
1963,36.3,28.9
1964,43.3,19.9
1965,32.0,19.0
1966,57.4,46.0
1967,52.0,34.0
1968,41.4,28.9
1969,31.3,10.9
1973,64.9,45.9
1974,41.9,34.9
1975,35.1,28.0
1976,46.9,28.0
1977,68.0,50.0
1978,46.9,32.9
1979,27.0,3.9
1980,44.1,12.9
1981,44.1,25.9
1982,44.1,21.9
1983,32.0,23.9
1984,28.0,6.1
1985,64.0,32.0
1986,39.9,24.1
1987,35.1,19.9
1988,60.1,24.1
1989,57.9,30.9
1990,73.0,39.0
1991,46.9,23.0
1992,28.0,10.9
1993,39.0,26.1
1994,39.0,19.9
1995,62.1,30.0
1996,45.0,30.0
1997,53.1,35.6
1998,21.0,14.0
1999,35.1,21.9
2000,35.1,26.1
2001,50.0,18.1
2002,44.1,14.0
2003,44.1,1.9
2004,45.0,19.4
2005,37.0,19.9
2006,66.9,37.9
2007,54.0,28.0
2008,48.0,23.0
2009,61.0,17.1
2010,62.1,44.1
2011,46.9,27.0
2012,69.1,27.1
2013,51.1,33.8
2014,53.1,36.0
2015,51.1,30.0
2016,55.0,34.0
2017,37.0,18.0
2018,41.0,23.0
