YEAR,MAX,MIN
1947,57.4,31.3
1948,56.3,31.3
1949,42.4,32.4
1950,65.3,45.3
1951,48.4,30.4
1952,71.2,41.4
1953,45.3,30.4
1954,65.3,31.3
1955,68.4,39.4
1956,46.4,34.3
1957,55.4,49.3
1958,82.4,51.3
1959,75.4,57.0
1960,68.0,35.4
1961,40.3,30.9
1962,56.3,36.0
1963,75.9,56.3
1964,81.3,56.3
1965,48.0,41.0
1966,64.9,35.1
1967,71.1,48.9
1968,64.0,50.4
1969,68.4,40.3
1973,73.4,34.0
1974,64.9,41.0
1975,72.0,43.0
1976,84.9,66.9
1977,87.1,50.9
1978,53.1,30.0
1979,57.9,32.0
1980,60.1,24.1
1981,82.0,39.9
1982,68.0,46.9
1983,43.0,26.1
1984,44.1,35.1
1985,75.0,37.0
1986,55.0,35.1
1987,69.1,45.0
1988,73.9,34.0
1989,75.9,39.9
1990,62.1,33.1
1991,62.1,39.9
1992,44.1,39.0
1993,57.0,30.0
1994,66.9,43.0
1995,63.0,41.0
1996,64.9,27.0
1997,48.9,32.0
1998,54.0,35.1
1999,46.9,39.9
2000,48.9,39.0
2001,46.0,28.4
2002,87.1,66.0
2003,45.0,39.0
2004,82.0,51.1
2005,75.9,53.1
2006,62.1,43.0
2007,70.0,32.0
2008,73.0,45.0
2009,70.0,32.0
2010,68.0,39.0
2011,53.1,35.1
2012,66.9,39.0
2013,57.9,39.9
2014,62.1,26.2
2015,77.0,46.0
2016,79.0,41.0
2017,73.0,44.1
2018,43.0,27.1
