YEAR,MAX,MIN
1947,51.3,40.3
1948,82.4,58.3
1949,71.2,33.4
1950,50.4,43.3
1951,66.4,43.3
1952,67.3,36.3
1953,65.3,49.3
1954,73.4,49.3
1955,59.4,45.3
1956,48.4,40.3
1957,71.2,58.3
1958,57.4,33.4
1959,73.4,45.0
1960,82.0,44.1
1961,45.3,39.9
1962,84.4,55.9
1963,58.3,37.0
1964,59.4,35.4
1965,53.1,39.9
1966,71.1,43.0
1967,51.1,28.0
1968,55.4,35.1
1969,72.3,41.0
1973,59.0,39.0
1974,64.9,36.0
1975,53.1,39.9
1976,59.9,36.0
1977,57.9,43.0
1978,64.9,41.9
1979,73.0,61.0
1980,45.0,32.0
1981,54.0,30.9
1982,73.0,45.0
1983,71.1,27.9
1984,70.0,37.0
1985,70.0,41.0
1986,81.0,46.9
1987,64.9,37.0
1988,69.1,33.1
1989,72.0,59.0
1990,87.1,66.0
1991,64.9,37.9
1992,48.0,37.9
1993,75.9,50.0
1994,82.9,54.0
1995,62.1,32.0
1996,68.0,57.0
1997,59.0,37.0
1998,68.0,45.0
1999,62.1,37.0
2000,64.0,37.0
2001,61.0,42.1
2002,54.0,37.0
2003,60.1,37.0
2004,63.0,39.0
2005,66.9,33.1
2006,73.0,37.0
2007,68.0,44.1
2008,82.0,54.0
2009,84.0,42.1
2010,60.1,48.0
2011,55.9,45.0
2012,66.0,37.9
2013,51.1,37.0
2014,70.0,39.0
2015,46.9,41.0
2016,81.0,57.9
2017,79.0,39.9
2018,64.9,43.0
