YEAR,MAX,MIN
1947,88.3,72.3
1948,88.3,66.4
1949,80.2,65.3
1950,84.4,53.4
1951,75.4,47.3
1952,72.3,56.3
1953,86.4,68.4
1954,83.3,64.4
1955,91.2,64.4
1956,69.3,40.3
1957,80.2,54.3
1958,67.3,52.3
1959,66.4,39.9
1960,73.0,61.3
1961,75.4,46.0
1962,75.4,45.0
1963,89.4,61.0
1964,73.0,61.0
1965,85.3,66.9
1966,71.1,48.0
1967,80.1,63.0
1968,73.4,59.4
1969,66.0,55.0
1973,68.0,43.0
1974,73.0,46.0
1975,77.0,57.9
1976,78.1,47.8
1977,79.0,68.9
1978,84.0,63.0
1979,78.1,57.9
1980,73.9,45.0
1981,60.1,41.9
1982,66.9,46.9
1983,84.0,62.1
1984,73.9,37.0
1985,87.1,57.0
1986,66.9,50.0
1987,73.9,62.1
1988,90.0,66.9
1989,77.0,50.0
1990,63.0,48.0
1991,77.0,51.1
1992,77.0,64.9
1993,68.0,50.0
1994,80.1,52.0
1995,68.0,44.1
1996,71.1,53.1
1997,82.9,55.0
1998,80.1,57.0
1999,75.9,48.0
2000,86.0,51.1
2001,69.8,57.0
2002,79.0,50.0
2003,82.0,53.1
2004,77.0,53.1
2005,81.0,52.0
2006,82.0,57.9
2007,88.0,52.0
2008,82.0,55.9
2009,79.0,50.0
2010,73.9,48.9
2011,68.0,50.0
2012,63.0,48.2
2013,81.0,48.9
2014,70.0,48.0
2015,84.9,61.0
2016,82.0,57.0
2017,86.0,57.9
2018,82.0,66.2
