YEAR,MAX,MIN
1947,83.3,69.3
1948,85.3,58.3
1949,92.3,76.3
1950,88.3,63.3
1951,76.3,65.3
1952,88.3,72.3
1953,89.2,68.4
1954,82.4,65.3
1955,92.3,72.3
1956,77.4,68.4
1957,88.3,65.3
1958,84.4,70.3
1959,87.4,70.3
1960,88.3,69.1
1961,83.3,67.3
1962,72.0,63.0
1963,83.3,68.4
1964,90.3,64.9
1965,77.0,59.0
1966,84.0,71.1
1967,75.9,64.0
1968,81.0,57.4
1969,73.9,63.0
1973,84.9,61.9
1974,88.0,62.1
1975,89.1,66.9
1976,88.0,72.9
1977,82.9,56.8
1978,82.9,57.9
1979,88.9,65.8
1980,84.0,59.0
1981,69.1,63.0
1982,88.0,66.9
1983,100.0,66.9
1984,73.9,55.0
1985,90.0,52.0
1986,89.1,63.0
1987,82.0,63.0
1988,98.1,60.1
1989,75.9,64.9
1990,87.1,66.0
1991,84.0,55.0
1992,84.0,59.0
1993,89.1,66.9
1994,75.0,55.9
1995,90.0,70.0
1996,73.9,61.0
1997,87.1,72.0
1998,88.0,68.0
1999,91.0,73.0
2000,88.0,64.0
2001,78.1,64.0
2002,89.1,71.1
2003,73.0,64.4
2004,84.0,55.0
2005,79.0,53.1
2006,93.0,68.0
2007,81.0,69.8
2008,84.9,62.1
2009,84.0,64.0
2010,88.0,68.0
2011,90.0,71.1
2012,86.0,66.0
2013,69.1,54.0
2014,87.1,59.0
2015,91.0,66.9
2016,89.1,68.0
2017,82.0,69.1
2018,82.0,61.0
