YEAR,MAX,MIN
1947,72.3,58.3
1948,87.3,61.3
1949,86.4,68.4
1950,75.4,65.3
1951,82.4,57.4
1952,85.3,72.3
1953,90.3,68.4
1954,90.3,65.3
1955,88.3,65.3
1956,79.3,63.3
1957,87.3,62.4
1958,80.2,55.4
1959,75.0,62.4
1960,87.4,64.0
1961,85.3,64.9
1962,83.3,53.1
1963,85.3,68.4
1964,89.4,61.3
1965,73.9,55.9
1966,91.9,68.0
1967,79.0,62.1
1968,84.9,65.3
1969,75.0,69.1
1973,87.1,71.1
1974,93.0,77.0
1975,89.1,75.0
1976,90.0,65.8
1977,96.1,75.9
1978,82.0,73.9
1979,84.0,54.9
1980,90.0,69.1
1981,90.0,64.9
1982,87.1,71.1
1983,95.0,70.0
1984,84.0,54.0
1985,84.9,57.0
1986,95.0,73.9
1987,93.0,68.0
1988,86.0,64.0
1989,79.0,62.1
1990,89.1,66.9
1991,99.0,70.0
1992,84.9,57.0
1993,91.0,64.9
1994,87.1,63.0
1995,87.1,63.0
1996,87.1,68.0
1997,82.0,66.9
1998,91.0,69.8
1999,87.1,72.0
2000,71.1,61.0
2001,88.0,66.0
2002,91.9,72.0
2003,82.9,53.1
2004,82.0,60.1
2005,91.9,66.0
2006,88.0,64.9
2007,84.9,69.1
2008,80.1,66.2
2009,72.0,57.0
2010,91.9,69.1
2011,93.0,78.1
2012,93.9,71.1
2013,96.1,77.0
2014,80.1,57.0
2015,89.1,73.0
2016,91.0,68.0
2017,89.1,60.1
2018,87.1,63.0
