YEAR,MAX,MIN
1947,85.3,63.3
1948,86.4,64.4
1949,95.4,70.3
1950,80.2,60.3
1951,79.3,58.3
1952,86.4,59.4
1953,87.3,66.4
1954,77.4,65.3
1955,95.4,71.2
1956,72.3,67.3
1957,89.2,71.2
1958,87.3,63.3
1959,84.0,64.9
1960,73.4,55.0
1961,78.1,60.1
1962,75.4,57.9
1963,79.3,46.4
1964,79.3,50.4
1965,82.9,57.0
1966,87.1,72.0
1967,64.9,52.0
1968,78.4,53.4
1969,89.1,64.9
1973,82.9,68.0
1974,89.1,68.0
1975,82.9,69.1
1976,81.0,57.9
1977,95.0,77.9
1978,78.1,56.8
1979,84.9,59.0
1980,82.9,50.0
1981,84.9,62.1
1982,84.9,63.0
1983,88.0,70.0
1984,86.0,57.0
1985,91.0,53.1
1986,87.1,52.0
1987,88.0,62.1
1988,89.1,52.0
1989,84.0,62.1
1990,96.1,64.0
1991,91.0,63.0
1992,84.0,57.0
1993,91.0,66.9
1994,90.0,71.1
1995,82.9,61.0
1996,77.0,51.1
1997,71.1,57.0
1998,82.9,68.0
1999,93.0,79.0
2000,79.0,61.0
2001,87.8,68.0
2002,93.9,73.0
2003,93.9,64.0
2004,82.0,64.9
2005,87.1,71.1
2006,82.9,66.9
2007,86.0,60.1
2008,75.9,52.0
2009,79.0,59.0
2010,91.0,60.1
2011,89.1,64.9
2012,102.0,77.0
2013,82.9,55.9
2014,79.0,55.9
2015,81.0,55.0
2016,79.0,55.0
2017,82.9,64.0
2018,93.0,63.0
