YEAR,MAX,MIN
1946,74.3,64.4
1947,62.4,47.3
1948,57.4,46.4
1949,83.3,68.4
1950,66.4,53.4
1951,59.4,38.3
1952,52.3,35.4
1953,72.3,43.3
1954,74.3,50.4
1955,73.4,47.3
1956,63.3,34.3
1957,63.3,50.4
1958,78.3,56.3
1959,59.0,39.9
1960,69.4,45.0
1961,80.4,55.9
1962,72.3,48.4
1963,79.3,41.4
1964,44.4,24.4
1965,57.4,50.4
1966,81.0,57.0
1967,48.9,45.0
1968,63.3,48.4
1969,79.0,42.1
1973,80.1,63.0
1974,61.0,46.0
1975,72.0,48.0
1976,57.9,36.9
1977,61.0,45.0
1978,73.0,39.9
1979,66.9,43.9
1980,75.9,43.9
1981,60.1,32.0
1982,75.0,57.0
1983,63.0,43.0
1984,75.9,57.0
1985,64.9,46.9
1986,57.0,48.0
1987,61.0,48.0
1988,64.0,41.0
1989,57.0,32.0
1990,53.1,46.0
1991,75.0,48.0
1992,54.0,44.1
1993,57.0,39.9
1994,63.0,43.0
1995,73.0,42.1
1996,57.9,37.0
1997,78.1,64.9
1998,63.0,46.9
1999,69.1,48.0
2000,57.0,30.0
2001,71.1,55.4
2002,66.0,45.0
2003,80.1,48.0
2004,70.0,48.9
2005,59.0,43.0
2006,72.0,43.0
2007,87.1,54.0
2008,69.1,48.9
2009,53.1,46.0
2010,86.0,48.0
2011,82.0,52.0
2012,64.9,46.0
2013,75.0,43.0
2014,64.9,44.1
2015,77.0,50.0
2016,64.9,39.9
2017,81.0,52.0
2018,84.9,63.0
