YEAR,MAX,MIN
1946,76.3,44.4
1947,55.4,49.3
1948,71.2,36.3
1949,64.4,35.4
1950,75.4,50.4
1951,51.3,31.3
1952,42.4,31.3
1953,52.3,40.3
1954,56.3,33.4
1955,64.4,52.3
1956,67.3,44.4
1957,57.4,29.3
1958,54.3,35.4
1959,43.3,25.0
1960,56.3,48.9
1961,56.3,46.9
1962,65.3,46.4
1963,61.3,32.0
1964,68.4,41.4
1965,48.4,24.4
1966,71.1,51.1
1967,43.0,36.0
1968,45.0,39.0
1969,45.0,25.0
1973,48.9,36.9
1974,72.0,50.0
1975,64.9,54.0
1976,48.9,21.9
1977,63.9,47.8
1978,63.0,36.0
1979,66.0,37.9
1980,43.0,27.0
1981,62.1,30.9
1982,70.0,54.0
1983,73.0,52.0
1984,75.9,45.0
1985,64.0,41.0
1986,69.1,46.0
1987,54.0,30.9
1988,57.9,32.0
1989,75.9,48.9
1990,64.0,32.0
1991,55.9,46.9
1992,64.0,32.0
1993,55.0,34.0
1994,62.1,32.0
1995,57.9,45.0
1996,57.0,41.0
1997,53.1,25.0
1998,64.4,55.9
1999,80.1,35.1
2000,55.0,50.0
2001,54.0,30.0
2002,48.0,37.4
2003,55.0,32.0
2004,62.1,46.0
2005,57.0,30.9
2006,52.0,37.9
2007,55.9,34.0
2008,46.9,30.9
2009,57.2,48.9
2010,64.9,41.0
2011,55.0,35.1
2012,48.9,34.0
2013,54.0,29.1
2014,77.0,51.1
2015,55.9,44.1
2016,62.1,37.9
2017,53.1,36.0
2018,54.0,43.0
