YEAR,MAX,MIN
1947,91.2,75.4
1948,78.3,64.4
1949,80.2,58.3
1950,74.3,60.3
1951,83.3,73.4
1952,90.3,67.3
1953,95.4,68.4
1954,72.3,61.3
1955,75.4,63.3
1956,81.3,66.4
1957,83.3,67.3
1958,93.4,76.3
1959,86.4,69.1
1960,87.4,64.0
1961,91.4,64.0
1962,92.3,62.4
1963,80.4,55.4
1964,84.4,56.3
1965,62.1,53.1
1966,89.1,64.0
1967,73.9,57.9
1968,78.4,57.9
1969,90.0,72.0
1973,91.9,70.9
1974,80.1,53.1
1975,79.0,68.0
1976,79.0,48.9
1977,82.0,57.9
1978,80.1,59.0
1979,88.0,61.0
1980,91.9,68.0
1981,84.0,61.9
1982,75.9,64.0
1983,93.9,64.0
1984,93.9,66.9
1985,82.9,64.0
1986,75.9,44.1
1987,82.0,54.0
1988,77.0,48.0
1989,84.9,57.0
1990,86.0,59.0
1991,91.9,71.1
1992,80.1,51.1
1993,89.1,66.0
1994,79.0,53.1
1995,91.0,73.0
1996,80.1,57.9
1997,73.4,57.0
1998,81.0,64.0
1999,68.0,60.1
2000,82.9,70.0
2001,84.9,55.9
2002,82.0,61.0
2003,82.9,66.0
2004,84.9,51.1
2005,84.9,61.0
2006,75.9,63.0
2007,84.9,63.0
2008,87.1,55.9
2009,69.1,53.1
2010,88.0,71.1
2011,79.0,59.0
2012,90.0,64.0
2013,96.1,66.0
2014,86.0,71.1
2015,77.0,63.0
2016,86.0,70.0
2017,82.0,60.1
2018,75.9,61.0
