YEAR,MAX,MIN
1947,55.4,40.3
1948,63.3,57.4
1949,64.4,49.3
1950,70.3,56.3
1951,65.3,50.4
1952,62.4,51.3
1953,65.3,38.3
1954,63.3,43.3
1955,71.2,56.3
1956,86.4,63.3
1957,71.2,51.3
1958,77.4,46.4
1959,87.4,64.9
1960,75.4,57.9
1961,85.3,63.3
1962,66.4,44.4
1963,67.3,45.3
1964,78.4,64.0
1965,71.1,54.0
1966,73.9,55.9
1967,66.0,51.1
1968,83.3,64.9
1969,80.1,57.0
1973,75.0,64.9
1974,52.0,32.0
1975,64.9,46.0
1976,70.0,34.0
1977,71.1,56.8
1978,66.9,46.9
1979,68.0,52.0
1980,84.0,68.9
1981,75.0,50.0
1982,61.0,41.0
1983,54.0,37.0
1984,80.1,48.0
1985,72.0,54.0
1986,89.1,60.1
1987,70.0,50.0
1988,79.0,48.9
1989,77.0,55.0
1990,72.0,48.0
1991,68.0,39.0
1992,70.0,52.0
1993,75.9,50.0
1994,82.0,57.0
1995,52.0,36.0
1996,73.0,53.1
1997,63.0,52.0
1998,66.9,55.9
1999,72.0,40.8
2000,63.0,45.0
2001,73.9,51.1
2002,80.1,50.0
2003,75.9,46.9
2004,82.0,50.0
2005,87.1,53.1
2006,71.1,57.0
2007,88.0,55.9
2008,81.0,57.9
2009,77.0,59.0
2010,72.0,63.0
2011,71.1,52.0
2012,60.1,44.1
2013,66.9,48.9
2014,69.1,46.0
2015,80.1,52.0
2016,81.0,64.0
2017,93.9,71.1
2018,64.0,51.1
