YEAR,MAX,MIN
1946,33.4,30.4
1947,31.3,17.4
1948,30.4,16.3
1949,39.4,20.3
1950,33.4,19.4
1951,6.4,-3.6
1952,38.3,33.4
1953,39.4,17.4
1954,31.3,21.4
1955,33.4,18.3
1956,40.3,36.3
1957,57.4,30.4
1958,43.3,19.9
1959,30.4,15.1
1960,4.3,-10.7
1961,35.4,31.3
1962,35.4,17.4
1963,19.4,-12.6
1964,40.3,24.4
1965,46.4,29.3
1966,32.0,21.0
1967,28.0,12.4
1968,38.3,25.3
1969,32.0,19.0
1973,23.0,3.9
1974,37.0,3.9
1975,36.0,19.9
1976,28.0,11.8
1977,32.9,14.9
1978,35.1,20.8
1979,48.0,43.0
1980,30.9,5.0
1981,34.0,21.9
1982,48.0,17.1
1983,23.0,-9.9
1984,55.9,19.0
1985,32.0,-2.0
1986,44.1,19.9
1987,39.9,26.1
1988,37.9,27.0
1989,3.0,-14.1
1990,45.0,6.1
1991,35.1,26.1
1992,42.1,17.1
1993,28.9,24.1
1994,52.0,27.0
1995,30.9,15.1
1996,39.2,30.0
1997,36.0,33.1
1998,19.0,5.0
1999,17.1,8.1
2000,7.0,-9.4
2001,46.4,32.0
2002,34.0,25.0
2003,46.9,26.2
2004,19.9,8.1
2005,37.9,3.0
2006,54.0,37.9
2007,48.2,35.6
2008,17.1,-4.0
2009,32.0,25.0
2010,34.0,17.6
2011,43.0,32.0
2012,33.1,17.1
2013,35.1,28.0
2014,39.0,28.0
2015,52.0,35.1
2016,37.0,19.0
2017,39.9,32.0
