YEAR,MAX,MIN
1947,80.2,55.4
1948,59.4,46.4
1949,69.3,63.3
1950,71.2,39.4
1951,83.3,65.3
1952,62.4,30.4
1953,80.2,60.3
1954,88.3,68.4
1955,75.4,46.4
1956,74.3,45.3
1957,63.3,45.3
1958,69.3,40.3
1959,68.4,56.3
1960,64.4,43.0
1961,60.4,30.0
1962,70.3,53.4
1963,72.3,48.0
1964,76.3,44.1
1965,66.0,37.4
1966,75.0,50.0
1967,81.0,61.0
1968,71.1,39.4
1969,79.0,57.9
1973,75.0,55.0
1974,60.1,28.9
1975,70.0,37.9
1976,82.9,50.9
1977,66.0,39.9
1978,72.9,57.9
1979,61.0,45.9
1980,66.9,39.9
1981,61.0,28.9
1982,81.0,48.9
1983,88.0,68.0
1984,73.0,37.0
1985,66.9,34.0
1986,72.0,60.1
1987,57.9,30.9
1988,66.9,43.0
1989,66.9,37.9
1990,80.1,62.1
1991,80.1,59.0
1992,80.1,48.0
1993,70.0,33.1
1994,63.0,51.1
1995,78.1,50.0
1996,54.0,39.0
1997,86.0,60.1
1998,58.3,51.1
1999,55.0,36.0
2000,81.0,44.1
2001,80.1,48.0
2002,71.1,57.9
2003,53.1,31.1
2004,70.0,36.0
2005,84.9,69.1
2006,82.0,55.0
2007,78.1,55.0
2008,61.0,42.1
2009,57.0,46.4
2010,57.0,42.1
2011,69.1,41.0
2012,69.1,53.1
2013,78.1,60.1
2014,72.0,48.0
2015,60.1,48.0
2016,66.9,55.9
2017,82.9,57.9
2018,88.0,57.9
