YEAR,MAX,MIN
1946,54.3,51.3
1947,83.3,56.3
1948,54.3,32.4
1949,69.3,44.4
1950,84.4,55.4
1951,65.3,49.3
1952,49.3,40.3
1953,81.3,41.4
1954,54.3,36.3
1955,57.4,47.3
1956,84.4,52.3
1957,64.4,49.3
1958,71.2,45.3
1959,57.0,38.3
1960,66.4,45.0
1961,78.4,53.1
1962,69.4,37.4
1963,76.3,57.0
1964,80.4,43.3
1965,82.4,62.4
1966,55.9,36.0
1967,66.0,48.9
1968,77.4,54.3
1969,53.1,32.0
1973,57.9,34.0
1974,64.9,48.0
1975,55.0,45.0
1976,53.1,32.9
1977,66.9,34.9
1978,57.0,30.9
1979,61.9,52.0
1980,73.9,52.0
1981,62.1,36.0
1982,52.0,32.0
1983,72.0,34.0
1984,72.0,41.0
1985,72.0,34.0
1986,57.9,37.9
1987,73.0,46.9
1988,75.0,46.0
1989,50.0,42.1
1990,77.0,62.1
1991,73.9,48.9
1992,50.0,28.0
1993,63.0,48.0
1994,78.1,57.0
1995,73.9,36.0
1996,71.1,59.0
1997,53.1,39.0
1998,75.0,64.4
1999,69.1,42.1
2000,63.0,39.9
2001,52.0,33.1
2002,50.0,33.1
2003,57.0,30.9
2004,54.0,30.2
2005,75.0,41.0
2006,57.9,48.0
2007,72.0,46.9
2008,59.0,43.0
2009,52.0,37.0
2010,71.1,39.9
2011,62.1,41.0
2012,66.9,57.9
2013,54.0,46.9
2014,62.1,50.0
2015,55.0,33.1
2016,82.0,64.9
2017,70.0,43.0
2018,59.0,34.0
