YEAR,MAX,MIN
1946,26.4,21.4
1947,35.4,29.3
1948,41.4,36.3
1949,24.4,2.5
1950,27.3,13.5
1951,17.4,-3.6
1952,34.3,13.5
1953,29.3,13.5
1954,35.4,26.4
1955,20.3,7.3
1956,36.3,34.3
1957,46.4,23.4
1958,14.4,-9.0
1959,52.3,34.0
1960,37.4,17.4
1961,27.3,10.0
1962,34.3,18.0
1963,11.3,-6.0
1964,30.4,1.0
1965,33.4,22.3
1966,44.1,26.1
1967,29.3,15.1
1968,27.3,19.0
1969,30.9,19.9
1973,28.0,25.9
1974,43.0,37.9
1975,55.9,32.0
1976,42.1,19.9
1977,39.0,32.0
1978,37.0,29.8
1979,45.0,27.9
1980,36.0,21.9
1981,35.1,12.0
1982,37.9,28.9
1983,36.0,21.9
1984,45.0,32.0
1985,28.9,14.0
1986,46.0,21.0
1987,36.0,23.0
1988,46.9,14.0
1989,18.0,-8.0
1990,45.0,23.0
1991,36.0,17.1
1992,44.1,26.1
1993,46.0,37.9
1994,36.0,21.0
1995,45.0,28.9
1996,46.0,30.2
1997,46.0,28.9
1998,51.1,37.9
1999,39.9,35.1
2000,26.1,3.0
2001,39.9,28.9
2002,45.0,31.1
2003,37.0,24.1
2004,37.9,16.0
2005,35.6,30.9
2006,50.0,35.1
2007,30.9,19.9
2008,50.0,5.0
2009,37.9,12.9
2010,25.0,1.9
2011,57.2,35.1
2012,50.0,28.2
2013,30.9,10.9
2014,50.0,44.1
2015,61.0,39.0
2016,19.0,-2.0
2017,34.0,17.1
