YEAR,MAX,MIN
1946,37.4,28.4
1947,31.3,23.4
1948,23.4,9.3
1949,18.3,1.4
1950,37.4,16.3
1951,24.4,5.4
1952,38.3,36.3
1953,16.3,0.3
1954,43.3,30.4
1955,39.4,31.3
1956,43.3,38.3
1957,52.3,43.3
1958,42.1,27.3
1959,29.3,25.0
1960,11.3,-17.0
1961,34.0,24.4
1962,35.1,0.3
1963,22.3,-7.6
1964,48.4,35.1
1965,55.4,39.0
1966,23.0,10.0
1967,24.4,8.4
1968,33.1,16.3
1969,28.9,24.1
1973,36.0,11.8
1974,41.0,25.0
1975,33.1,28.0
1976,30.9,7.0
1977,34.0,23.9
1978,39.9,18.9
1979,62.1,45.9
1980,37.0,19.0
1981,33.1,17.1
1982,61.0,42.1
1983,-6.0,-18.9
1984,42.1,19.0
1985,35.1,14.0
1986,35.1,19.9
1987,41.0,30.0
1988,48.0,27.0
1989,8.1,-11.9
1990,10.9,3.9
1991,37.0,28.9
1992,43.0,19.9
1993,30.0,18.0
1994,52.0,27.0
1995,30.0,15.1
1996,51.8,37.0
1997,36.0,32.0
1998,24.1,10.0
1999,15.1,3.0
2000,19.9,-9.0
2001,48.9,21.9
2002,34.0,24.1
2003,46.9,30.0
2004,18.0,8.1
2005,44.1,37.0
2006,54.0,36.0
2007,52.0,14.0
2008,30.0,-2.9
2009,32.0,27.1
2010,35.1,18.0
2011,39.9,23.0
2012,34.0,17.1
2013,34.0,3.9
2014,48.0,28.2
2015,59.0,35.1
2016,37.0,24.1
2017,39.0,24.1
