YEAR,MAX,MIN
1946,32.4,17.4
1947,28.4,21.4
1948,52.3,21.4
1949,30.4,15.4
1950,26.4,16.3
1951,20.3,5.4
1952,27.3,21.4
1953,40.3,29.3
1954,33.4,28.4
1955,36.3,18.3
1956,30.4,7.3
1957,48.4,19.4
1958,12.4,-7.6
1959,41.4,30.9
1960,28.4,10.0
1961,16.3,1.0
1962,20.3,1.9
1963,12.9,-1.7
1964,39.9,28.0
1965,50.0,33.4
1966,28.0,21.9
1967,38.3,29.3
1968,51.1,18.3
1969,39.0,21.9
1973,39.9,26.1
1974,39.9,32.0
1975,64.0,37.9
1976,30.9,1.9
1977,39.0,36.9
1978,41.9,25.0
1979,36.0,18.9
1980,48.0,24.1
1981,36.0,17.1
1982,34.0,7.0
1983,36.0,30.9
1984,46.9,32.0
1985,21.9,6.1
1986,25.0,1.0
1987,39.0,30.0
1988,41.0,10.0
1989,19.9,5.0
1990,55.0,28.9
1991,60.1,30.0
1992,39.0,21.9
1993,46.0,21.0
1994,28.9,15.1
1995,28.0,7.0
1996,41.0,28.0
1997,33.1,19.9
1998,48.9,26.1
1999,46.0,24.1
2000,24.8,-5.8
2001,46.9,33.8
2002,39.2,33.8
2003,30.0,10.9
2004,37.0,24.8
2005,28.0,9.0
2006,50.0,33.1
2007,36.0,25.0
2008,37.9,10.9
2009,36.0,32.0
2010,19.0,6.8
2011,46.9,24.3
2012,48.9,28.2
2013,30.9,12.9
2014,46.0,23.2
2015,61.0,46.4
2016,32.0,7.0
2017,37.9,18.0
2018,32.0,27.0
