YEAR,MAX,MIN
1947,33.4,24.4
1948,33.4,20.3
1949,49.3,35.4
1950,46.4,17.4
1951,38.3,30.4
1952,33.4,22.5
1953,33.4,17.4
1954,41.4,21.4
1955,52.3,13.5
1956,28.4,17.4
1957,36.3,22.5
1958,38.3,30.4
1959,45.3,30.9
1960,29.3,8.1
1961,36.3,25.3
1962,36.3,30.0
1963,45.3,30.0
1964,39.4,30.9
1965,37.0,25.0
1966,39.4,19.4
1967,25.0,8.1
1968,50.4,30.9
1969,33.4,24.1
1973,54.0,35.1
1974,46.9,39.9
1975,35.1,21.0
1976,42.1,23.0
1977,70.0,34.9
1978,30.9,24.1
1979,44.1,32.0
1980,37.0,21.0
1981,42.1,17.1
1982,26.1,-0.9
1983,60.1,33.1
1984,25.0,10.9
1985,52.0,30.9
1986,33.1,7.0
1987,73.9,41.0
1988,57.0,45.0
1989,36.0,16.0
1990,45.0,23.0
1991,45.0,19.0
1992,62.1,43.0
1993,42.1,28.0
1994,48.0,26.1
1995,35.1,19.0
1996,17.1,1.0
1997,48.9,32.0
1998,39.9,35.6
1999,30.0,18.0
2000,78.1,54.0
2001,44.1,21.9
2002,64.0,33.1
2003,41.0,19.4
2004,45.0,28.9
2005,30.0,18.0
2006,53.1,37.0
2007,39.9,12.9
2008,26.1,14.0
2009,45.0,37.0
2010,46.0,26.2
2011,45.0,24.1
2012,68.0,39.0
2013,39.9,19.0
2014,46.9,14.2
2015,44.1,24.3
2016,70.0,46.0
2017,64.9,41.0
2018,34.0,24.1
