YEAR,MAX,MIN
1947,98.2,83.3
1948,72.3,52.3
1949,85.3,57.4
1950,79.3,52.3
1951,77.4,54.3
1952,73.4,60.3
1953,77.4,64.4
1954,76.3,66.4
1955,89.2,74.3
1956,88.3,72.3
1957,70.3,54.3
1958,88.3,66.4
1959,87.4,69.1
1960,80.4,59.4
1961,78.4,63.3
1962,85.3,54.0
1963,75.4,63.3
1964,82.9,60.4
1965,91.0,64.9
1966,81.0,55.0
1967,80.1,59.0
1968,91.4,69.1
1969,82.9,63.0
1973,87.1,66.9
1974,78.1,51.1
1975,88.0,73.0
1976,81.9,64.9
1977,86.0,68.9
1978,75.9,50.0
1979,86.9,72.0
1980,93.0,64.9
1981,89.1,66.0
1982,84.9,72.0
1983,86.0,68.0
1984,90.0,64.0
1985,81.0,55.9
1986,82.9,57.9
1987,82.9,64.0
1988,97.0,78.1
1989,89.1,68.0
1990,84.9,66.9
1991,75.9,61.0
1992,72.0,53.1
1993,73.0,52.0
1994,81.0,53.1
1995,86.0,66.0
1996,90.0,73.9
1997,72.0,57.0
1998,80.6,71.1
1999,81.0,64.0
2000,80.1,54.0
2001,89.1,63.0
2002,89.1,72.0
2003,81.0,61.0
2004,73.9,60.1
2005,88.0,69.1
2006,89.1,63.0
2007,88.0,64.0
2008,87.1,69.1
2009,84.9,61.0
2010,82.9,71.1
2011,84.0,69.1
2012,93.0,66.9
2013,75.0,57.9
2014,87.1,66.0
2015,82.0,61.0
2016,91.0,70.0
2017,80.1,55.9
2018,97.0,71.1
