YEAR,MAX,MIN
1946,43.3,36.3
1947,40.3,26.4
1948,47.3,32.4
1949,57.4,44.4
1950,31.3,13.5
1951,50.4,28.4
1952,50.4,21.4
1953,51.3,33.4
1954,63.3,40.3
1955,54.3,40.3
1956,64.4,35.4
1957,54.3,30.4
1958,62.4,37.4
1959,57.9,24.4
1960,45.3,26.1
1961,65.3,33.1
1962,49.3,30.4
1963,50.4,30.0
1964,73.4,53.1
1965,54.3,41.0
1966,44.1,28.0
1967,59.4,50.0
1968,43.3,28.9
1969,48.9,44.1
1973,43.0,32.0
1974,50.0,46.0
1975,57.9,36.0
1976,39.9,19.9
1977,39.0,30.9
1978,63.0,41.0
1979,39.9,18.0
1980,43.0,27.9
1981,52.0,24.1
1982,62.1,39.9
1983,54.0,32.0
1984,51.1,32.0
1985,39.9,36.0
1986,42.1,18.0
1987,44.1,24.1
1988,50.0,34.0
1989,53.1,33.1
1990,51.1,24.1
1991,45.0,19.9
1992,51.1,37.9
1993,57.0,30.0
1994,55.0,34.0
1995,39.9,23.0
1996,32.0,26.1
1997,37.0,25.0
1998,46.0,36.0
1999,50.0,44.1
2000,46.0,28.0
2001,59.0,36.0
2002,62.1,36.0
2003,55.9,46.9
2004,57.0,39.2
2005,60.1,31.1
2006,48.0,35.1
2007,52.0,30.2
2008,39.0,23.0
2009,55.0,37.0
2010,68.0,43.0
2011,45.0,30.0
2012,70.0,50.0
2013,46.9,28.4
2014,62.1,34.0
2015,63.0,33.1
2016,63.0,41.0
2017,36.0,18.0
2018,41.0,19.9
