YEAR,MAX,MIN
1947,47.3,23.4
1948,14.4,-10.7
1949,33.4,14.4
1950,35.4,6.4
1951,46.4,26.4
1952,35.4,24.4
1953,33.4,24.4
1954,27.3,5.4
1955,32.4,19.4
1956,35.4,28.4
1957,14.4,-6.5
1958,28.4,15.4
1959,26.4,-0.9
1960,33.1,25.3
1961,37.9,21.0
1962,6.4,-5.6
1963,26.4,4.3
1964,48.4,27.0
1965,23.0,9.0
1966,11.3,-7.1
1967,10.9,-11.0
1968,38.3,32.4
1969,37.0,30.4
1973,56.8,46.9
1974,41.0,34.0
1975,36.0,28.0
1976,19.0,-5.1
1977,23.0,-4.0
1978,27.0,18.0
1979,30.9,-8.1
1980,36.0,28.9
1981,43.0,25.0
1982,19.0,-6.0
1983,24.1,-2.9
1984,12.0,-4.0
1985,24.1,12.0
1986,54.0,35.1
1987,28.9,19.0
1988,41.0,32.0
1989,45.0,30.0
1990,55.0,32.0
1991,30.0,14.0
1992,32.0,1.9
1993,30.9,7.0
1994,10.0,-20.9
1995,43.0,28.9
1996,61.0,33.1
1997,5.0,-5.1
1998,27.0,8.1
1999,41.0,30.9
2000,32.0,19.0
2001,30.9,19.0
2002,25.0,12.0
2003,24.1,7.0
2004,33.1,10.4
2005,19.0,1.0
2006,32.0,19.4
2007,28.9,9.0
2008,33.1,8.1
2009,24.8,9.0
2010,30.9,21.0
2011,32.0,18.0
2012,39.0,10.0
2013,43.0,19.0
2014,21.0,10.0
2015,42.1,26.2
2016,9.0,-4.0
2017,39.0,33.1
2018,32.0,5.0
