YEAR,MAX,MIN
1947,67.3,47.3
1948,87.3,51.3
1949,83.3,68.4
1950,79.3,58.3
1951,83.3,49.3
1952,78.3,53.4
1953,75.4,44.4
1954,62.4,52.3
1955,74.3,62.4
1956,58.3,43.3
1957,57.4,47.3
1958,62.4,48.4
1959,73.4,48.0
1960,81.3,62.1
1961,82.4,50.4
1962,60.1,48.4
1963,87.4,63.3
1964,68.4,39.4
1965,66.0,53.1
1966,73.9,43.0
1967,77.0,48.0
1968,81.3,53.4
1969,62.1,48.4
1973,80.1,61.0
1974,73.9,52.0
1975,68.0,48.0
1976,70.0,47.8
1977,77.9,52.9
1978,81.0,59.0
1979,77.0,52.9
1980,79.9,57.9
1981,81.0,50.0
1982,68.0,51.1
1983,69.1,41.0
1984,82.9,48.9
1985,80.1,51.1
1986,60.1,46.0
1987,84.9,64.9
1988,93.0,57.9
1989,78.1,57.0
1990,84.9,63.0
1991,86.0,62.1
1992,75.9,45.0
1993,64.0,37.0
1994,64.9,45.0
1995,80.1,59.0
1996,78.1,48.9
1997,64.9,51.1
1998,77.0,57.0
1999,71.1,55.0
2000,84.9,60.8
2001,64.9,50.0
2002,91.9,55.0
2003,68.0,37.9
2004,75.0,55.0
2005,80.1,50.0
2006,80.1,55.9
2007,84.9,62.1
2008,86.0,53.1
2009,60.1,48.0
2010,84.9,63.0
2011,81.0,55.9
2012,75.9,48.9
2013,75.9,48.9
2014,90.0,63.0
2015,70.0,42.1
2016,79.0,57.0
2017,86.0,51.1
2018,75.9,52.0
