YEAR,MAX,MIN
1947,60.3,31.3
1948,79.3,54.3
1949,76.3,40.3
1950,82.4,63.3
1951,80.2,50.4
1952,85.3,63.3
1953,76.3,44.4
1954,70.3,58.3
1955,62.4,38.3
1956,80.2,41.4
1957,66.4,52.3
1958,58.3,30.4
1959,63.3,51.1
1960,66.4,43.0
1961,55.0,34.3
1962,70.3,57.9
1963,82.4,51.4
1964,76.3,46.9
1965,64.9,43.3
1966,57.9,37.0
1967,77.0,42.1
1968,80.4,61.0
1969,84.9,57.9
1973,69.1,59.9
1974,52.0,33.1
1975,66.9,44.1
1976,81.0,45.9
1977,70.0,55.9
1978,66.9,48.9
1979,77.0,43.0
1980,80.1,52.0
1981,82.9,48.0
1982,84.9,57.9
1983,81.0,46.0
1984,64.9,28.9
1985,61.0,35.1
1986,66.0,55.0
1987,72.0,37.0
1988,77.0,57.9
1989,79.0,43.0
1990,71.1,42.1
1991,82.0,46.0
1992,73.9,39.0
1993,66.9,54.0
1994,66.0,52.0
1995,84.0,59.0
1996,75.0,48.9
1997,61.0,48.0
1998,66.9,45.0
1999,70.0,42.1
2000,82.9,55.0
2001,78.1,48.0
2002,84.9,68.0
2003,55.9,34.0
2004,73.9,39.0
2005,79.0,44.1
2006,73.9,44.1
2007,82.9,59.0
2008,61.0,46.0
2009,62.1,41.0
2010,73.9,48.0
2011,57.0,42.1
2012,66.0,46.9
2013,79.0,48.0
2014,70.0,46.9
2015,61.0,52.0
2016,64.0,57.0
2017,72.0,48.0
2018,72.0,54.0
