YEAR,MAX,MIN
1947,32.4,16.3
1948,22.5,12.4
1949,22.5,5.4
1950,29.3,18.3
1951,6.4,-2.6
1952,48.4,22.5
1953,39.4,28.4
1954,32.4,13.5
1955,32.4,5.4
1956,29.3,6.4
1957,27.3,12.4
1958,25.3,4.5
1959,17.1,-2.6
1960,40.3,27.0
1961,29.3,10.0
1962,17.4,-2.0
1963,14.4,-11.9
1964,40.3,29.3
1965,12.0,-6.0
1966,16.3,-0.6
1967,34.0,27.0
1968,49.3,32.0
1969,33.4,17.1
1973,39.9,27.0
1974,54.9,27.0
1975,34.0,19.9
1976,28.9,12.9
1977,18.0,3.9
1978,16.0,3.9
1979,25.0,15.1
1980,21.9,10.9
1981,34.0,10.9
1982,34.0,17.1
1983,34.0,19.9
1984,26.1,1.9
1985,28.9,-1.1
1986,30.0,18.0
1987,34.0,18.0
1988,55.0,37.9
1989,64.0,35.1
1990,45.0,16.0
1991,25.0,6.1
1992,37.0,30.0
1993,46.0,30.9
1994,21.0,-2.0
1995,39.0,12.0
1996,7.0,-11.0
1997,43.0,19.0
1998,41.0,28.0
1999,39.0,32.0
2000,27.0,14.2
2001,39.9,32.0
2002,34.0,28.9
2003,41.0,27.0
2004,14.0,-8.0
2005,37.0,19.0
2006,39.0,30.0
2007,19.9,3.0
2008,25.0,-2.0
2009,37.9,3.9
2010,28.9,15.1
2011,30.0,21.0
2012,55.9,45.0
2013,28.9,13.1
2014,33.1,17.1
2015,36.0,18.0
2016,48.0,35.1
2017,39.0,15.1
2018,42.1,16.0
