YEAR,MAX,MIN
1946,54.3,23.4
1947,41.4,20.3
1948,33.4,13.5
1949,32.4,28.4
1950,8.4,-18.6
1951,11.3,-6.5
1952,28.4,14.4
1953,43.3,26.4
1954,42.4,38.3
1955,35.4,21.4
1956,42.4,31.3
1957,42.4,22.5
1958,44.4,32.0
1959,57.4,50.0
1960,27.3,9.3
1961,28.9,9.0
1962,25.3,-2.9
1963,27.0,3.4
1964,29.3,5.0
1965,29.3,11.3
1966,28.0,10.0
1967,20.3,6.1
1968,43.3,30.9
1969,33.1,15.1
1973,37.9,30.0
1974,33.1,28.9
1975,28.0,21.9
1976,36.0,5.0
1977,8.1,-2.0
1978,23.0,2.8
1979,37.9,27.9
1980,27.0,12.0
1981,34.0,21.9
1982,46.0,33.1
1983,19.0,8.1
1984,46.0,18.0
1985,30.9,1.9
1986,37.0,28.9
1987,35.1,21.0
1988,39.0,19.0
1989,28.0,5.0
1990,26.1,-6.0
1991,45.0,25.0
1992,39.9,6.1
1993,18.0,6.1
1994,51.1,24.1
1995,30.0,14.0
1996,33.8,15.1
1997,28.9,19.9
1998,44.1,24.1
1999,34.0,18.0
2000,19.0,3.0
2001,27.0,9.0
2002,33.1,18.0
2003,48.9,17.1
2004,26.1,8.1
2005,46.9,32.0
2006,37.9,28.0
2007,45.0,25.2
2008,59.0,41.0
2009,26.1,17.1
2010,33.1,12.0
2011,45.0,23.2
2012,33.1,28.0
2013,39.9,16.0
2014,50.0,34.0
2015,42.8,35.1
2016,37.9,25.0
2017,7.0,-4.0
