YEAR,MAX,MIN
1946,45.3,23.4
1947,42.4,27.3
1948,58.3,40.3
1949,33.4,26.4
1950,52.3,31.3
1951,28.4,19.4
1952,67.3,45.3
1953,70.3,47.3
1954,62.4,53.4
1955,30.4,20.3
1956,48.4,26.4
1957,53.4,40.3
1958,71.1,35.4
1959,32.4,8.1
1960,50.4,39.9
1961,38.3,25.0
1962,41.4,33.4
1963,61.0,33.4
1964,40.3,25.3
1965,37.4,20.3
1966,62.1,37.0
1967,45.3,30.4
1968,39.4,34.0
1969,54.0,42.1
1973,60.1,44.1
1974,51.1,35.1
1975,68.0,48.0
1976,57.9,25.9
1977,45.9,34.9
1978,57.9,36.9
1979,71.1,43.9
1980,42.1,27.9
1981,55.9,30.9
1982,52.0,21.9
1983,57.0,26.1
1984,42.1,24.1
1985,59.0,45.0
1986,52.0,30.0
1987,44.1,35.1
1988,52.0,30.9
1989,34.0,15.1
1990,52.0,30.9
1991,66.9,34.0
1992,43.0,32.0
1993,48.0,27.0
1994,52.0,37.0
1995,39.0,32.0
1996,34.0,28.0
1997,39.0,25.0
1998,60.1,36.0
1999,71.1,30.2
2000,32.0,21.0
2001,66.0,39.0
2002,43.0,24.1
2003,61.0,52.0
2004,63.0,53.1
2005,37.9,16.0
2006,44.1,30.0
2007,46.0,34.0
2008,36.0,21.0
2009,46.9,44.1
2010,46.9,30.9
2011,51.1,24.1
2012,57.0,26.2
2013,48.0,37.0
2014,21.0,9.0
2015,62.1,46.9
2016,72.0,44.1
2017,48.2,35.1
2018,37.0,30.0
