YEAR,MAX,MIN
1947,80.2,56.3
1948,78.3,64.4
1949,90.3,62.4
1950,77.4,49.3
1951,78.3,55.4
1952,72.3,54.3
1953,78.3,53.4
1954,92.3,60.3
1955,67.3,55.4
1956,93.4,67.3
1957,80.2,68.4
1958,75.4,51.3
1959,83.3,69.1
1960,83.3,55.4
1961,90.3,55.9
1962,79.0,53.4
1963,75.9,49.3
1964,74.3,46.9
1965,77.0,55.0
1966,78.1,41.0
1967,84.9,64.9
1968,90.0,66.4
1969,88.3,60.1
1973,91.0,71.1
1974,68.0,52.0
1975,81.0,69.1
1976,91.9,64.9
1977,79.0,63.0
1978,89.1,64.9
1979,78.1,52.0
1980,73.0,41.0
1981,75.9,50.9
1982,77.0,43.0
1983,90.0,57.9
1984,84.9,53.1
1985,72.0,48.0
1986,84.0,59.0
1987,82.0,63.0
1988,87.1,44.1
1989,75.0,44.1
1990,79.0,50.0
1991,86.0,64.9
1992,82.0,48.9
1993,81.0,55.9
1994,82.9,43.0
1995,82.9,52.0
1996,71.1,52.0
1997,78.1,57.0
1998,73.4,60.1
1999,90.0,66.9
2000,88.0,62.1
2001,87.8,68.0
2002,88.0,69.1
2003,75.9,53.6
2004,80.6,60.1
2005,88.0,66.9
2006,64.0,50.0
2007,86.0,55.0
2008,86.0,59.0
2009,66.9,55.0
2010,89.1,57.9
2011,69.1,51.1
2012,93.0,66.9
2013,82.9,60.1
2014,66.9,55.9
2015,75.9,63.0
2016,91.0,63.0
2017,93.0,64.0
2018,71.1,60.1
