YEAR,MAX,MIN
1946,46.4,28.4
1947,35.4,20.3
1948,51.3,36.3
1949,67.3,54.3
1950,37.4,25.3
1951,56.3,44.4
1952,56.3,28.4
1953,46.4,41.4
1954,49.3,43.3
1955,51.3,40.3
1956,51.3,37.4
1957,52.3,27.3
1958,54.3,31.3
1959,34.0,21.9
1960,54.3,30.0
1961,59.4,48.0
1962,50.4,26.4
1963,41.4,28.0
1964,67.3,45.3
1965,59.4,41.4
1966,39.0,30.9
1967,55.4,34.3
1968,44.4,26.4
1969,50.0,34.0
1973,57.0,39.9
1974,42.1,30.9
1975,55.0,37.9
1976,37.0,14.9
1977,38.8,23.0
1978,50.9,43.9
1979,43.0,28.9
1980,52.0,28.0
1981,52.0,30.9
1982,61.0,32.0
1983,39.0,18.9
1984,39.9,21.9
1985,48.0,36.0
1986,30.9,19.9
1987,55.9,24.1
1988,45.0,34.0
1989,54.0,30.9
1990,50.0,24.1
1991,37.9,32.0
1992,51.1,37.0
1993,57.9,32.0
1994,55.9,36.0
1995,36.0,14.0
1996,28.9,17.1
1997,33.1,19.9
1998,45.0,36.0
1999,59.0,36.0
2000,48.0,28.2
2001,55.9,28.0
2002,43.0,36.0
2003,61.0,42.1
2004,52.0,30.0
2005,64.9,34.0
2006,46.0,34.0
2007,66.0,42.1
2008,48.2,37.0
2009,55.9,28.0
2010,66.9,46.0
2011,60.1,30.2
2012,54.0,28.9
2013,46.9,23.0
2014,34.0,25.0
2015,63.0,36.0
2016,52.0,30.9
2017,39.9,26.2
2018,41.0,28.0
