YEAR,MAX,MIN
1947,30.4,25.3
1948,41.4,36.3
1949,34.3,25.3
1950,12.4,-6.5
1951,50.4,40.3
1952,39.4,17.4
1953,41.4,30.4
1954,44.4,29.3
1955,43.3,18.3
1956,43.3,28.4
1957,57.4,49.3
1958,49.3,28.4
1959,41.4,25.0
1960,28.4,25.0
1961,32.4,25.3
1962,41.4,24.1
1963,23.0,3.4
1964,42.4,23.4
1965,21.9,12.9
1966,37.4,22.3
1967,9.0,-8.0
1968,38.3,19.4
1969,38.3,31.3
1973,39.9,32.0
1974,27.0,9.0
1975,37.0,28.0
1976,64.9,48.9
1977,50.9,32.9
1978,37.0,25.9
1979,29.8,23.0
1980,34.0,21.0
1981,53.1,25.9
1982,34.0,17.1
1983,37.9,19.9
1984,42.1,24.1
1985,39.0,32.0
1986,37.0,17.1
1987,45.0,19.9
1988,27.0,14.0
1989,37.9,17.1
1990,34.0,1.9
1991,35.1,15.1
1992,39.9,33.1
1993,19.9,-5.1
1994,28.9,7.0
1995,46.0,26.1
1996,57.9,33.1
1997,33.1,15.1
1998,51.1,32.7
1999,37.4,28.0
2000,72.0,41.0
2001,55.9,30.0
2002,54.0,33.8
2003,23.0,-2.0
2004,37.9,24.1
2005,41.0,27.0
2006,46.9,15.3
2007,37.9,26.6
2008,36.0,18.0
2009,54.0,33.1
2010,28.9,18.0
2011,35.1,28.4
2012,35.1,19.9
2013,43.0,17.1
2014,25.0,12.9
2015,28.9,3.9
2016,37.0,30.2
2017,39.9,23.0
2018,50.0,33.1
