YEAR,MAX,MIN
1946,71.2,57.4
1947,63.3,50.4
1948,59.4,37.4
1949,50.4,30.4
1950,57.4,44.4
1951,55.4,38.3
1952,70.3,35.4
1953,52.3,47.3
1954,70.3,41.4
1955,64.4,37.4
1956,59.4,49.3
1957,57.4,40.3
1958,59.4,43.3
1959,55.9,37.9
1960,48.9,28.9
1961,58.3,30.4
1962,45.3,25.0
1963,82.4,53.1
1964,62.4,24.4
1965,48.4,32.0
1966,57.9,28.0
1967,69.1,61.0
1968,51.1,40.3
1969,51.1,32.0
1973,78.1,54.0
1974,71.1,46.9
1975,73.9,64.9
1976,50.0,43.0
1977,66.9,43.0
1978,55.9,30.9
1979,50.0,32.9
1980,68.0,43.0
1981,39.0,16.9
1982,57.0,23.0
1983,52.0,46.9
1984,55.0,28.0
1985,71.1,54.0
1986,63.0,54.0
1987,48.9,28.9
1988,53.1,34.0
1989,75.9,42.1
1990,60.1,32.0
1991,77.0,55.0
1992,75.9,50.0
1993,69.1,37.9
1994,59.0,42.1
1995,71.1,42.1
1996,57.0,39.0
1997,48.9,43.0
1998,66.0,39.9
1999,51.1,28.0
2000,71.1,57.9
2001,63.0,48.2
2002,46.0,39.9
2003,60.8,37.0
2004,75.9,43.0
2005,51.1,32.0
2006,46.9,30.0
2007,57.9,43.0
2008,57.9,41.0
2009,50.0,37.4
2010,72.0,54.0
2011,68.0,37.9
2012,78.1,57.0
2013,46.0,32.0
2014,66.0,51.8
2015,66.0,52.0
2016,73.0,41.0
2017,54.0,46.0
2018,54.0,37.0
