YEAR,MAX,MIN
1947,64.4,53.4
1948,72.3,47.3
1949,72.3,52.3
1950,55.4,42.4
1951,85.3,60.3
1952,55.4,47.3
1953,65.3,49.3
1954,80.2,54.3
1955,75.4,42.4
1956,56.3,36.3
1957,53.4,40.3
1958,78.3,44.4
1959,66.4,39.9
1960,68.4,55.0
1961,60.4,39.0
1962,92.3,69.1
1963,62.4,39.0
1964,79.3,52.3
1965,78.1,61.0
1966,73.0,53.1
1967,64.0,41.0
1968,69.1,46.4
1969,85.3,60.1
1973,61.0,48.0
1974,78.1,50.0
1975,63.0,42.1
1976,73.0,55.9
1977,86.0,61.0
1978,62.1,48.9
1979,71.1,41.9
1980,62.1,41.9
1981,73.9,43.0
1982,84.9,55.0
1983,63.0,35.1
1984,64.0,36.0
1985,66.0,50.0
1986,77.0,50.0
1987,82.0,43.0
1988,80.1,50.0
1989,72.0,45.0
1990,72.0,48.9
1991,87.1,57.0
1992,88.0,57.9
1993,72.0,46.0
1994,77.0,41.0
1995,77.0,46.9
1996,63.0,46.9
1997,66.9,35.1
1998,82.0,64.0
1999,82.0,55.0
2000,70.0,43.0
2001,89.1,55.0
2002,75.0,39.9
2003,64.9,44.1
2004,70.0,37.0
2005,60.1,41.0
2006,64.9,48.0
2007,64.0,46.0
2008,73.0,39.9
2009,62.1,52.0
2010,66.0,41.0
2011,52.0,37.0
2012,86.0,51.1
2013,84.0,53.1
2014,55.0,37.0
2015,79.0,57.0
2016,70.0,35.1
2017,87.1,50.0
2018,79.0,46.9
