YEAR,MAX,MIN
1948,75.4,48.4
1949,72.3,47.3
1950,75.4,59.4
1951,78.3,44.4
1952,87.3,58.3
1953,73.4,53.4
1954,72.3,53.4
1955,93.4,60.3
1956,74.3,49.3
1957,69.3,48.4
1958,86.4,56.3
1959,90.3,65.3
1960,87.1,58.3
1961,89.4,64.9
1962,85.3,66.9
1963,85.3,54.3
1964,94.3,62.4
1965,88.3,64.0
1966,80.1,46.9
1967,75.0,61.0
1968,73.9,60.4
1969,68.0,48.9
1973,75.9,62.1
1974,82.0,60.1
1975,66.9,48.0
1976,90.0,59.0
1977,81.0,72.0
1978,95.0,64.9
1979,75.9,47.8
1980,86.0,66.0
1981,75.0,45.0
1982,81.0,46.9
1983,95.0,70.0
1984,75.9,64.0
1985,93.9,66.9
1986,73.0,43.0
1987,80.1,57.9
1988,82.9,55.9
1989,87.1,64.0
1990,82.0,62.1
1991,93.0,66.9
1992,71.1,57.0
1993,73.9,55.0
1994,84.0,60.1
1995,69.1,47.8
1996,75.9,64.4
1997,73.9,64.4
1998,72.0,55.0
1999,75.0,55.0
2000,84.9,66.9
2001,81.0,59.0
2002,91.9,60.1
2003,84.0,59.0
2004,73.0,57.0
2005,87.1,61.0
2006,82.9,60.1
2007,80.1,63.0
2008,69.1,48.9
2009,77.0,64.4
2010,71.1,50.0
2011,72.0,62.1
2012,73.0,54.0
2013,93.9,68.0
2014,79.0,55.0
2015,81.0,66.0
2016,82.0,63.0
2017,72.0,55.9
2018,69.1,60.1
