YEAR,MAX,MIN
1947,66.4,38.3
1948,64.4,50.4
1949,58.3,39.4
1950,62.4,52.3
1951,71.2,41.4
1952,63.3,39.4
1953,71.2,44.4
1954,67.3,43.3
1955,74.3,63.3
1956,77.4,48.4
1957,62.4,48.4
1958,77.4,53.4
1959,82.9,62.4
1960,68.0,61.0
1961,70.0,54.3
1962,69.4,42.1
1963,70.3,43.0
1964,70.3,54.0
1965,65.3,45.3
1966,71.1,43.0
1967,69.1,42.1
1968,81.3,63.0
1969,73.0,61.0
1973,74.8,55.0
1974,59.0,30.0
1975,70.0,43.0
1976,70.9,52.0
1977,70.9,52.0
1978,71.1,43.9
1979,73.0,43.0
1980,66.9,45.9
1981,63.0,34.9
1982,66.0,39.9
1983,55.9,35.1
1984,72.0,59.0
1985,75.9,55.9
1986,90.0,64.9
1987,75.9,48.9
1988,79.0,57.0
1989,78.1,37.0
1990,64.9,42.1
1991,64.9,42.1
1992,62.1,39.9
1993,77.0,50.0
1994,73.9,59.0
1995,57.9,28.9
1996,68.0,50.0
1997,64.9,53.6
1998,66.0,45.0
1999,80.1,51.4
2000,70.0,48.9
2001,73.9,51.1
2002,69.1,39.0
2003,70.0,48.0
2004,84.9,50.0
2005,68.0,62.1
2006,71.1,57.0
2007,84.0,50.0
2008,82.0,59.0
2009,77.0,59.0
2010,89.1,63.0
2011,64.0,48.0
2012,61.0,39.9
2013,66.9,46.0
2014,73.9,46.0
2015,80.1,53.1
2016,81.0,64.9
2017,95.0,71.1
2018,71.1,50.0
