YEAR,MAX,MIN
1947,87.3,69.3
1948,78.3,68.4
1949,87.3,72.3
1950,72.3,51.3
1951,77.4,52.3
1952,94.3,75.4
1953,87.3,59.4
1954,94.3,65.3
1955,85.3,60.3
1956,85.3,57.4
1957,83.3,59.4
1958,86.4,63.3
1959,82.9,62.4
1960,84.4,70.0
1961,92.3,71.1
1962,91.4,67.3
1963,81.3,62.1
1964,91.4,62.4
1965,84.0,61.0
1966,88.0,60.1
1967,77.0,55.0
1968,82.4,70.0
1969,88.3,66.0
1973,73.9,59.0
1974,84.0,57.0
1975,86.0,66.9
1976,81.9,55.9
1977,88.0,63.0
1978,88.0,64.9
1979,86.0,59.0
1980,89.1,61.0
1981,96.1,66.0
1982,79.0,59.0
1983,78.1,63.0
1984,80.1,53.1
1985,79.0,54.0
1986,82.9,61.0
1987,84.9,60.1
1988,70.0,57.9
1989,75.0,48.0
1990,87.1,60.1
1991,95.0,70.0
1992,88.0,61.0
1993,75.9,53.1
1994,84.9,64.9
1995,87.1,66.9
1996,91.9,62.1
1997,88.0,62.1
1998,86.0,70.0
1999,82.0,59.0
2000,75.9,55.0
2001,87.1,63.0
2002,87.1,60.1
2003,82.9,63.0
2004,80.1,55.9
2005,90.0,73.0
2006,80.1,55.9
2007,70.0,55.9
2008,82.9,60.1
2009,82.9,63.0
2010,82.0,60.1
2011,81.0,59.0
2012,100.0,69.1
2013,82.9,64.0
2014,87.1,69.1
2015,79.0,54.0
2016,81.0,55.0
2017,81.0,57.9
2018,96.1,68.0
