YEAR,MAX,MIN
1947,98.2,77.4
1948,70.3,62.4
1949,80.2,55.4
1950,76.3,57.4
1951,69.3,49.3
1952,79.3,69.3
1953,85.3,76.3
1954,77.4,64.4
1955,94.3,71.2
1956,96.3,72.3
1957,76.3,60.3
1958,84.4,61.3
1959,88.3,70.0
1960,74.3,62.4
1961,85.3,66.4
1962,81.3,61.3
1963,83.3,61.0
1964,88.3,65.3
1965,77.0,61.0
1966,80.1,51.1
1967,78.1,59.0
1968,87.4,70.0
1969,82.0,57.0
1973,81.0,57.9
1974,70.0,60.1
1975,91.9,66.0
1976,82.0,54.9
1977,88.0,70.9
1978,77.9,48.9
1979,86.0,68.0
1980,93.0,61.0
1981,89.1,64.9
1982,95.0,68.0
1983,96.1,62.1
1984,88.0,64.0
1985,81.0,50.0
1986,82.0,55.9
1987,96.1,70.0
1988,96.1,78.1
1989,90.0,70.0
1990,87.1,64.9
1991,80.1,61.0
1992,75.9,53.1
1993,80.1,54.0
1994,88.0,55.9
1995,84.9,71.1
1996,84.0,64.0
1997,80.1,66.0
1998,80.1,68.0
1999,82.9,68.0
2000,80.1,54.0
2001,87.1,64.0
2002,88.0,77.0
2003,75.2,62.6
2004,90.0,66.0
2005,93.0,73.9
2006,89.1,66.0
2007,90.0,64.0
2008,87.1,61.0
2009,84.9,66.9
2010,86.0,66.0
2011,86.0,69.1
2012,95.0,71.1
2013,81.0,60.1
2014,87.1,62.1
2015,82.0,61.0
2016,91.0,69.1
2017,84.0,55.9
2018,97.0,66.9
