YEAR,MAX,MIN
1946,57.4,50.4
1947,57.4,42.4
1948,56.3,53.4
1949,41.4,26.4
1950,46.4,40.3
1951,25.3,9.3
1952,49.3,31.3
1953,61.3,46.4
1954,46.4,26.4
1955,32.4,20.3
1956,69.3,48.4
1957,54.3,50.4
1958,60.4,34.3
1959,54.3,35.1
1960,56.3,30.9
1961,73.0,30.4
1962,50.4,31.3
1963,59.4,21.4
1964,74.3,51.4
1965,73.4,50.4
1966,35.1,23.0
1967,45.0,32.4
1968,50.4,28.4
1969,45.0,42.1
1973,46.9,33.1
1974,64.0,44.1
1975,66.9,62.1
1976,61.0,34.0
1977,72.9,57.9
1978,73.9,43.0
1979,48.9,32.9
1980,66.0,45.0
1981,68.0,43.9
1982,59.0,37.0
1983,63.0,39.9
1984,52.0,21.0
1985,51.1,33.1
1986,46.0,28.0
1987,75.0,57.0
1988,61.0,37.0
1989,41.0,19.9
1990,73.0,57.0
1991,32.0,12.9
1992,57.0,36.0
1993,53.1,34.0
1994,66.0,54.0
1995,37.9,27.0
1996,46.9,24.1
1997,39.9,33.1
1998,50.0,41.0
1999,46.9,28.0
2000,64.0,37.0
2001,66.0,35.1
2002,48.0,24.1
2003,55.0,46.0
2004,52.0,44.6
2005,70.0,54.0
2006,39.9,21.0
2007,57.0,32.0
2008,73.0,48.0
2009,59.0,34.0
2010,54.0,30.9
2011,64.9,46.0
2012,48.0,34.0
2013,53.1,33.1
2014,61.0,44.1
2015,72.0,44.1
2016,66.9,48.0
2017,51.1,37.9
2018,50.0,34.0
