YEAR,MAX,MIN
1947,46.4,33.4
1948,52.3,25.3
1949,45.3,25.3
1950,51.3,36.3
1951,49.3,30.4
1952,52.3,33.4
1953,50.4,33.4
1954,34.3,17.4
1955,64.4,36.3
1956,81.3,61.3
1957,37.4,33.4
1958,61.3,41.4
1959,57.0,36.3
1960,50.0,37.4
1961,50.4,23.4
1962,48.4,27.0
1963,77.0,59.0
1964,42.1,27.3
1965,44.1,30.0
1966,46.9,35.1
1967,64.0,36.0
1968,62.4,48.0
1969,53.4,28.9
1973,46.9,38.8
1974,64.9,50.0
1975,30.9,21.9
1976,71.1,46.9
1977,54.0,34.9
1978,70.0,32.0
1979,48.0,28.9
1980,57.9,37.9
1981,80.1,59.0
1982,63.0,32.0
1983,39.9,36.0
1984,54.0,33.1
1985,60.1,42.1
1986,63.0,30.9
1987,39.0,17.1
1988,64.0,44.1
1989,52.0,42.1
1990,53.1,30.0
1991,64.9,26.1
1992,50.0,24.1
1993,43.0,17.6
1994,70.0,34.0
1995,62.1,33.1
1996,70.0,32.0
1997,66.0,53.1
1998,46.9,37.0
1999,73.9,53.1
2000,60.1,43.0
2001,60.1,30.2
2002,44.1,30.0
2003,46.4,37.4
2004,59.0,27.0
2005,64.0,30.0
2006,60.1,39.0
2007,70.0,41.0
2008,53.1,28.2
2009,50.0,37.0
2010,81.0,50.0
2011,72.0,35.1
2012,70.0,46.9
2013,45.0,25.0
2014,45.0,34.0
2015,64.9,36.0
2016,9999.9,27.0
2017,61.0,42.1
2018,44.1,21.2
