YEAR,MAX,MIN
1947,39.4,26.4
1948,42.4,20.3
1949,66.4,33.4
1950,48.4,33.4
1951,56.3,47.3
1952,46.4,30.4
1953,50.4,37.4
1954,54.3,40.3
1955,41.4,19.4
1956,50.4,35.4
1957,46.4,32.4
1958,46.4,35.4
1959,40.3,28.0
1960,48.0,35.1
1961,48.4,32.4
1962,69.4,48.0
1963,63.0,34.0
1964,36.0,18.3
1965,37.0,19.9
1966,45.3,20.3
1967,54.0,37.9
1968,78.4,52.0
1969,50.4,28.4
1973,57.9,37.0
1974,39.9,37.9
1975,37.9,32.0
1976,60.1,34.0
1977,62.1,54.0
1978,57.0,34.9
1979,52.0,27.9
1980,51.1,33.1
1981,78.1,35.1
1982,45.0,19.9
1983,46.0,32.0
1984,44.1,28.9
1985,70.0,41.0
1986,79.0,28.0
1987,53.1,39.0
1988,52.0,28.0
1989,75.0,59.0
1990,52.0,21.9
1991,63.0,30.9
1992,46.9,25.0
1993,52.0,30.9
1994,52.0,30.0
1995,45.0,37.9
1996,41.0,28.9
1997,66.9,52.0
1998,72.0,53.6
1999,53.1,30.9
2000,55.9,33.1
2001,48.9,21.2
2002,48.9,28.4
2003,66.9,39.0
2004,73.9,41.0
2005,60.1,26.1
2006,50.0,25.2
2007,50.0,44.1
2008,45.0,27.0
2009,44.1,32.0
2010,52.0,31.1
2011,36.0,21.0
2012,72.0,55.9
2013,51.1,28.0
2014,55.0,34.0
2015,36.0,19.9
2016,63.0,36.0
2017,52.0,41.0
2018,54.0,39.0
