YEAR,MAX,MIN
1947,30.4,12.4
1948,41.4,34.3
1949,43.3,36.3
1950,27.3,-2.6
1951,51.3,27.3
1952,35.4,30.4
1953,45.3,30.4
1954,47.3,30.4
1955,38.3,26.4
1956,43.3,31.3
1957,62.4,32.4
1958,41.4,33.4
1959,36.3,21.0
1960,29.3,23.0
1961,45.0,28.4
1962,29.3,24.1
1963,26.4,-0.9
1964,29.3,3.9
1965,23.0,19.0
1966,37.4,21.4
1967,19.0,-5.1
1968,33.4,15.4
1969,41.4,33.4
1973,39.9,27.9
1974,21.9,12.9
1975,37.0,30.9
1976,63.0,37.9
1977,57.9,33.1
1978,36.0,19.9
1979,39.9,23.0
1980,37.9,28.0
1981,52.0,33.1
1982,37.9,28.9
1983,48.9,30.9
1984,59.0,36.0
1985,50.0,32.0
1986,32.0,16.0
1987,46.9,21.0
1988,35.1,18.0
1989,23.0,3.9
1990,37.9,17.1
1991,35.1,19.9
1992,42.1,30.9
1993,19.9,-5.1
1994,27.0,10.9
1995,51.1,26.1
1996,57.9,34.0
1997,27.0,16.0
1998,54.0,39.2
1999,34.0,21.0
2000,57.2,51.8
2001,39.2,25.0
2002,61.0,23.2
2003,23.0,12.2
2004,45.0,32.0
2005,36.0,19.9
2006,46.9,15.1
2007,33.1,23.0
2008,36.0,17.1
2009,39.0,9.0
2010,33.1,21.0
2011,36.0,24.1
2012,39.9,30.9
2013,39.0,17.1
2014,28.0,12.0
2015,28.9,-4.0
2016,45.0,26.2
2017,39.9,37.9
2018,44.1,33.1
