YEAR,MAX,MIN
1946,38.3,14.4
1947,39.4,14.4
1948,32.4,19.4
1949,45.3,27.3
1950,12.4,-5.6
1951,17.4,-10.7
1952,43.3,20.3
1953,13.5,2.5
1954,35.4,32.4
1955,24.4,11.3
1956,38.3,31.3
1957,38.3,29.3
1958,38.3,16.3
1959,45.0,30.4
1960,29.3,11.3
1961,34.3,31.3
1962,50.4,25.3
1963,15.4,-8.7
1964,34.0,2.3
1965,33.4,23.4
1966,43.0,32.0
1967,40.3,28.9
1968,36.3,17.1
1969,30.0,19.9
1973,25.9,7.0
1974,32.0,23.0
1975,32.0,9.0
1976,39.9,28.9
1977,55.9,46.9
1978,38.8,18.9
1979,19.0,0.9
1980,34.0,27.0
1981,23.0,9.0
1982,33.1,24.1
1983,23.0,-2.9
1984,60.1,28.9
1985,23.0,3.0
1986,39.9,35.1
1987,32.0,19.0
1988,21.0,3.9
1989,16.0,-5.1
1990,37.9,33.1
1991,36.0,30.0
1992,42.1,28.0
1993,39.9,33.1
1994,42.1,32.0
1995,37.9,18.0
1996,32.0,21.9
1997,48.0,26.1
1998,37.9,28.0
1999,34.0,19.9
2000,28.4,1.4
2001,46.0,37.0
2002,36.0,30.0
2003,43.0,23.0
2004,43.0,19.0
2005,24.1,12.0
2006,55.0,32.0
2007,28.9,15.1
2008,21.9,6.1
2009,34.0,5.0
2010,27.0,12.9
2011,34.0,28.0
2012,48.9,36.0
2013,33.1,8.1
2014,45.0,24.1
2015,53.1,28.9
2016,21.9,7.0
2017,46.0,27.0
