YEAR,MAX,MIN
1947,76.3,55.4
1948,77.4,55.4
1949,81.3,75.4
1950,82.4,54.3
1951,88.3,58.3
1952,92.3,71.2
1953,82.4,60.3
1954,73.4,64.4
1955,88.3,70.3
1956,88.3,67.3
1957,92.3,63.3
1958,80.2,60.3
1959,87.4,55.9
1960,82.4,57.0
1961,73.9,53.4
1962,90.3,61.0
1963,73.9,62.4
1964,76.3,63.3
1965,73.9,63.0
1966,82.9,64.9
1967,77.0,53.1
1968,82.4,62.1
1969,64.9,60.1
1973,89.1,66.9
1974,90.0,62.1
1975,84.0,71.1
1976,88.0,64.9
1977,95.9,77.0
1978,86.9,70.9
1979,84.9,54.9
1980,100.9,52.0
1981,93.0,56.8
1982,93.9,66.9
1983,79.0,45.0
1984,73.9,46.9
1985,87.1,57.9
1986,91.9,64.0
1987,91.9,68.0
1988,99.0,66.0
1989,95.0,62.1
1990,80.1,53.1
1991,96.1,66.9
1992,79.0,51.1
1993,82.0,66.0
1994,93.9,72.0
1995,79.0,62.1
1996,91.0,72.0
1997,73.9,57.0
1998,82.9,69.1
1999,84.9,65.5
2000,82.0,64.0
2001,86.0,50.0
2002,89.6,66.0
2003,88.0,69.1
2004,82.9,61.0
2005,81.0,64.0
2006,82.0,54.0
2007,90.0,64.0
2008,87.1,59.0
2009,86.0,59.0
2010,93.0,71.1
2011,86.0,66.9
2012,102.9,75.0
2013,88.0,64.9
2014,88.0,63.0
2015,84.9,57.0
2016,88.0,66.9
2017,93.0,69.1
2018,82.0,59.0
