YEAR,MAX,MIN
1947,56.3,37.4
1948,59.4,45.3
1949,74.3,38.3
1950,73.4,50.4
1951,73.4,46.4
1952,65.3,40.3
1953,88.3,54.3
1954,68.4,53.4
1955,65.3,53.4
1956,87.3,64.4
1957,75.4,52.3
1958,80.2,47.3
1959,81.0,63.0
1960,76.3,52.0
1961,64.9,40.3
1962,87.4,68.4
1963,70.3,46.4
1964,60.4,36.3
1965,54.0,34.0
1966,64.0,39.9
1967,59.0,50.0
1968,65.3,47.3
1969,87.1,61.3
1973,63.9,50.0
1974,77.0,64.9
1975,71.1,57.9
1976,73.0,55.9
1977,92.8,68.0
1978,88.0,63.0
1979,82.0,45.0
1980,84.9,60.1
1981,81.0,62.1
1982,77.0,53.1
1983,64.0,48.9
1984,57.0,37.0
1985,73.9,43.0
1986,78.1,55.0
1987,89.1,66.0
1988,89.1,59.0
1989,77.0,42.1
1990,73.0,48.9
1991,91.0,69.1
1992,71.1,33.1
1993,70.0,41.0
1994,82.0,46.0
1995,73.9,54.0
1996,59.0,43.0
1997,61.0,57.0
1998,87.1,66.0
1999,86.0,66.0
2000,66.9,44.1
2001,66.9,48.9
2002,82.9,59.0
2003,66.9,48.0
2004,66.0,46.0
2005,70.0,43.0
2006,91.9,68.0
2007,88.0,50.0
2008,66.9,42.1
2009,73.9,54.0
2010,86.0,57.0
2011,68.0,51.1
2012,95.0,64.9
2013,84.0,55.9
2014,75.0,53.6
2015,82.0,54.0
2016,81.0,63.0
2017,77.0,55.9
2018,95.0,66.0
