YEAR,MAX,MIN
1947,49.3,16.3
1948,13.5,-2.6
1949,35.4,15.4
1950,35.4,33.4
1951,35.4,24.4
1952,19.4,14.4
1953,35.4,32.4
1954,35.4,15.4
1955,19.4,11.3
1956,27.3,3.4
1957,24.4,5.4
1958,31.3,3.4
1959,6.4,-11.9
1960,21.4,5.0
1961,21.4,-5.1
1962,20.3,0.0
1963,1.0,-18.6
1964,53.1,34.0
1965,35.1,30.0
1966,27.0,-3.6
1967,60.1,46.0
1968,39.0,14.4
1969,52.3,44.1
1973,35.1,26.1
1974,36.0,30.9
1975,36.0,19.0
1976,33.1,16.0
1977,26.1,9.0
1978,32.0,14.0
1979,32.0,20.8
1980,32.9,3.9
1981,46.9,24.1
1982,37.9,6.1
1983,35.1,32.0
1984,30.0,3.9
1985,24.1,10.9
1986,39.0,17.1
1987,28.9,-4.0
1988,28.9,10.0
1989,50.0,30.0
1990,46.9,28.0
1991,32.0,17.1
1992,41.0,25.0
1993,44.1,28.0
1994,39.0,12.9
1995,26.1,14.0
1996,43.0,30.9
1997,30.0,21.2
1998,33.1,28.9
1999,46.0,33.8
2000,28.0,7.0
2001,34.0,24.1
2002,55.0,32.0
2003,14.0,-4.0
2004,21.9,3.0
2005,23.0,8.1
2006,36.0,24.1
2007,30.9,23.0
2008,28.9,5.0
2009,34.0,15.1
2010,42.1,33.1
2011,19.9,3.9
2012,46.0,16.0
2013,23.0,9.0
2014,15.1,-2.0
2015,30.9,28.0
2016,33.1,19.0
2017,46.0,37.0
2018,54.0,30.0
