YEAR,MAX,MIN
1947,30.4,15.4
1948,72.3,51.3
1949,48.4,43.3
1950,48.4,38.3
1951,49.3,24.4
1952,38.3,25.3
1953,46.4,30.4
1954,45.3,33.4
1955,23.4,12.4
1956,58.3,32.4
1957,36.3,30.4
1958,44.4,30.4
1959,39.0,34.3
1960,34.3,10.9
1961,72.3,46.9
1962,51.4,30.9
1963,60.1,36.3
1964,32.0,18.0
1965,28.0,21.9
1966,38.3,23.4
1967,64.0,39.0
1968,74.3,46.9
1969,32.4,22.3
1973,55.0,39.9
1974,46.9,32.9
1975,32.0,19.9
1976,75.9,55.9
1977,69.1,37.9
1978,32.0,27.9
1979,33.1,16.0
1980,45.0,27.9
1981,63.0,44.1
1982,45.0,27.0
1983,39.9,19.9
1984,46.9,24.1
1985,64.0,30.9
1986,72.0,44.1
1987,51.1,37.9
1988,62.1,36.0
1989,75.9,34.0
1990,45.0,25.0
1991,73.9,52.0
1992,52.0,33.1
1993,45.0,36.0
1994,45.0,32.0
1995,57.9,25.0
1996,24.1,15.1
1997,57.0,30.9
1998,73.9,57.9
1999,44.1,30.9
2000,68.0,36.0
2001,32.0,15.8
2002,37.9,24.1
2003,59.0,30.9
2004,66.9,57.0
2005,44.1,33.1
2006,48.0,28.0
2007,79.0,64.0
2008,57.9,30.9
2009,57.0,35.1
2010,46.9,27.0
2011,34.0,24.1
2012,52.0,37.0
2013,43.0,28.9
2014,39.0,15.1
2015,42.1,32.0
2016,54.0,29.1
2017,62.1,41.0
2018,53.1,27.1
