YEAR,MAX,MIN
1947,90.3,72.3
1948,89.2,60.3
1949,87.3,70.3
1950,89.2,63.3
1951,82.4,57.4
1952,74.3,60.3
1953,90.3,75.4
1954,82.4,67.3
1955,92.3,75.4
1956,70.3,64.4
1957,85.3,71.2
1958,82.4,65.3
1959,94.3,71.4
1960,91.4,68.0
1961,88.3,63.0
1962,71.4,54.3
1963,84.4,63.0
1964,86.0,56.3
1965,80.1,52.0
1966,80.1,60.1
1967,81.0,53.1
1968,77.4,53.1
1969,80.1,60.1
1973,79.0,59.9
1974,84.9,59.0
1975,91.9,63.0
1976,84.9,66.9
1977,88.0,68.9
1978,79.0,68.0
1979,87.1,57.9
1980,84.9,59.0
1981,73.9,50.9
1982,82.9,56.8
1983,100.0,73.9
1984,78.1,50.0
1985,90.0,61.0
1986,86.0,66.0
1987,89.1,63.0
1988,98.1,70.0
1989,80.1,57.9
1990,87.1,71.1
1991,84.0,62.1
1992,84.0,59.0
1993,84.9,66.0
1994,80.1,52.0
1995,95.0,69.1
1996,78.1,62.1
1997,73.9,59.0
1998,84.9,70.0
1999,96.1,71.1
2000,84.0,64.0
2001,90.0,64.9
2002,88.0,72.0
2003,82.0,54.0
2004,84.0,55.0
2005,82.9,53.1
2006,93.9,68.0
2007,84.9,63.0
2008,88.0,64.9
2009,84.0,62.1
2010,88.0,66.9
2011,87.1,73.0
2012,84.9,63.0
2013,75.9,54.0
2014,81.0,57.9
2015,91.0,66.9
2016,84.0,70.0
2017,79.0,64.0
2018,82.9,61.0
