YEAR,MAX,MIN
1946,52.3,22.5
1947,24.4,5.4
1948,36.3,30.4
1949,44.4,25.3
1950,32.4,25.3
1951,45.3,30.4
1952,22.5,11.3
1953,30.4,13.5
1954,40.3,31.3
1955,12.4,2.5
1956,35.4,27.3
1957,55.4,35.4
1958,25.3,16.3
1959,24.4,16.3
1960,63.3,28.4
1961,36.3,25.3
1962,56.3,29.3
1963,52.3,33.4
1964,54.3,18.3
1965,29.3,19.9
1966,37.9,30.9
1967,32.4,16.3
1968,42.4,35.4
1969,34.0,21.0
1973,54.0,36.0
1974,36.0,21.9
1975,34.0,26.1
1976,36.0,9.0
1977,27.9,7.0
1978,34.9,18.0
1979,36.0,27.0
1980,37.0,30.0
1981,37.0,25.9
1982,41.0,21.9
1983,44.1,30.9
1984,57.9,30.0
1985,39.9,23.0
1986,39.9,26.1
1987,51.1,37.9
1988,45.0,24.1
1989,63.0,24.1
1990,66.9,28.0
1991,43.0,32.0
1992,37.0,21.9
1993,37.0,19.0
1994,59.0,33.1
1995,42.1,17.1
1996,37.9,21.0
1997,55.4,39.9
1998,66.9,44.1
1999,48.0,21.9
2000,39.9,28.9
2001,52.0,35.1
2002,33.1,14.0
2003,45.0,28.0
2004,43.0,33.8
2005,61.0,48.0
2006,62.1,52.0
2007,48.0,23.0
2008,45.0,21.9
2009,54.0,28.9
2010,46.0,21.9
2011,39.9,33.8
2012,44.1,19.0
2013,34.0,14.0
2014,32.0,15.1
2015,37.9,32.0
2016,50.0,32.0
2017,61.0,50.0
2018,26.1,17.1
