YEAR,MAX,MIN
1947,40.3,25.3
1948,34.3,-1.7
1949,58.3,28.4
1950,45.3,22.5
1951,32.4,25.3
1952,51.3,33.4
1953,55.4,42.4
1954,30.4,16.3
1955,34.3,23.4
1956,37.4,31.3
1957,11.3,-3.6
1958,35.4,32.4
1959,35.1,1.4
1960,37.0,21.4
1961,36.0,30.4
1962,30.9,7.3
1963,0.3,-18.9
1964,34.3,9.0
1965,21.0,12.9
1966,26.4,17.1
1967,32.0,10.9
1968,35.1,12.4
1969,34.3,24.1
1973,36.0,32.9
1974,39.9,28.0
1975,28.9,17.1
1976,34.0,9.0
1977,27.0,0.0
1978,27.9,-1.1
1979,3.0,-17.1
1980,46.0,33.1
1981,30.9,19.9
1982,14.0,-9.9
1983,35.1,16.0
1984,25.0,10.0
1985,16.0,-4.0
1986,37.0,3.9
1987,45.0,30.0
1988,36.0,19.9
1989,36.0,21.9
1990,53.1,27.0
1991,37.9,21.9
1992,25.0,6.1
1993,26.1,16.0
1994,1.0,-17.0
1995,39.0,30.9
1996,46.9,19.9
1997,25.0,13.1
1998,30.9,24.1
1999,25.0,16.0
2000,42.1,26.1
2001,36.0,32.0
2002,35.1,30.2
2003,21.9,3.9
2004,27.0,12.2
2005,15.1,3.9
2006,45.0,27.0
2007,33.8,24.8
2008,26.6,12.2
2009,14.0,-11.0
2010,37.0,26.6
2011,24.1,16.0
2012,30.9,5.0
2013,30.9,12.0
2014,27.0,15.1
2015,34.0,1.0
2016,44.1,24.3
2017,36.0,19.9
2018,24.1,5.0
