YEAR,MAX,MIN
1946,40.3,21.4
1947,30.4,16.3
1948,23.4,8.4
1949,38.3,29.3
1950,21.4,-1.7
1951,29.3,7.3
1952,31.3,20.3
1953,39.4,31.3
1954,44.4,38.3
1955,35.4,25.3
1956,32.4,25.3
1957,39.4,29.3
1958,37.4,26.1
1959,52.3,39.0
1960,39.9,9.3
1961,30.4,24.1
1962,16.0,-12.6
1963,35.4,23.4
1964,27.3,4.3
1965,32.0,19.4
1966,23.0,6.1
1967,15.4,0.3
1968,34.3,14.0
1969,28.0,21.0
1973,39.9,36.0
1974,30.0,12.0
1975,36.0,28.9
1976,34.9,17.1
1977,12.9,-2.0
1978,25.0,9.9
1979,37.9,25.9
1980,21.0,9.0
1981,34.0,14.0
1982,46.9,36.0
1983,8.1,-17.0
1984,28.9,16.0
1985,26.1,-11.0
1986,33.1,26.1
1987,36.0,23.0
1988,30.9,17.1
1989,36.0,5.0
1990,12.0,-6.0
1991,45.0,17.1
1992,25.0,6.1
1993,18.0,5.0
1994,52.0,24.1
1995,30.9,14.0
1996,19.4,6.8
1997,30.9,26.1
1998,30.9,19.9
1999,33.8,24.8
2000,19.4,6.1
2001,16.0,8.6
2002,28.9,18.0
2003,44.1,16.0
2004,24.8,12.9
2005,37.0,33.1
2006,37.0,30.2
2007,45.0,24.1
2008,41.0,19.0
2009,26.6,19.9
2010,33.1,21.0
2011,45.0,23.0
2012,33.1,26.1
2013,32.0,14.0
2014,50.0,34.0
2015,44.1,34.0
2016,54.0,32.0
2017,21.0,-2.9
