YEAR,MAX,MIN
1947,75.4,56.3
1948,90.3,61.3
1949,91.2,75.4
1950,79.3,63.3
1951,80.2,52.3
1952,95.4,65.3
1953,89.2,73.4
1954,90.3,68.4
1955,92.3,65.3
1956,85.3,69.3
1957,86.4,66.4
1958,86.4,69.3
1959,79.3,52.0
1960,86.4,61.0
1961,86.4,61.3
1962,78.1,64.0
1963,91.9,63.3
1964,89.4,66.4
1965,82.0,66.9
1966,91.9,60.1
1967,75.0,57.9
1968,78.1,51.4
1969,78.1,57.0
1973,88.0,73.9
1974,93.0,66.9
1975,88.0,66.0
1976,80.1,52.0
1977,82.0,57.9
1978,83.8,66.9
1979,83.8,50.0
1980,90.0,61.0
1981,81.0,59.9
1982,75.9,46.0
1983,84.9,64.0
1984,82.9,48.9
1985,81.0,52.0
1986,75.0,57.9
1987,82.0,60.1
1988,78.1,51.1
1989,89.1,55.0
1990,82.9,55.9
1991,97.0,68.0
1992,91.0,57.9
1993,82.9,63.0
1994,87.1,57.9
1995,77.0,50.0
1996,82.0,68.0
1997,89.1,73.9
1998,84.9,60.1
1999,86.0,66.9
2000,84.0,61.0
2001,78.1,48.9
2002,93.0,75.0
2003,89.1,59.0
2004,84.9,57.0
2005,75.9,54.0
2006,90.0,64.9
2007,79.0,53.1
2008,87.1,57.9
2009,73.0,57.0
2010,82.9,55.0
2011,93.9,72.0
2012,98.1,68.0
2013,75.0,59.0
2014,80.1,57.0
2015,69.1,53.1
2016,75.9,54.0
2017,89.1,62.1
2018,93.9,69.1
