YEAR,MAX,MIN
1947,36.3,27.3
1948,49.3,30.4
1949,37.4,27.3
1950,39.4,10.4
1951,36.3,33.4
1952,34.3,27.3
1953,39.4,32.4
1954,29.3,17.4
1955,63.3,33.4
1956,35.4,28.4
1957,69.3,49.3
1958,34.3,32.4
1959,42.4,30.0
1960,32.4,10.0
1961,49.3,33.1
1962,34.0,23.4
1963,40.3,22.3
1964,59.4,33.4
1965,36.0,28.9
1966,52.3,29.3
1967,36.0,34.0
1968,43.3,28.0
1969,36.0,19.0
1973,70.0,48.9
1974,45.0,25.9
1975,37.9,27.0
1976,48.9,32.0
1977,64.9,45.9
1978,37.0,34.0
1979,52.9,27.0
1980,42.1,20.8
1981,48.0,19.9
1982,51.1,32.0
1983,54.0,23.0
1984,37.9,24.1
1985,48.0,27.0
1986,55.9,35.1
1987,41.0,30.9
1988,30.9,19.9
1989,61.0,32.0
1990,72.0,60.1
1991,37.9,28.9
1992,34.0,18.0
1993,21.9,7.0
1994,51.1,30.9
1995,77.0,43.0
1996,60.1,32.0
1997,37.0,24.8
1998,37.9,21.9
1999,37.0,28.9
2000,57.9,32.0
2001,50.0,25.0
2002,63.0,36.0
2003,55.0,23.0
2004,45.0,36.0
2005,36.0,14.0
2006,41.0,27.0
2007,73.0,42.1
2008,57.0,30.0
2009,52.0,19.0
2010,48.9,39.2
2011,42.1,24.1
2012,81.0,46.0
2013,37.0,23.0
2014,52.0,33.1
2015,64.9,37.0
2016,54.0,42.8
2017,30.9,19.0
2018,48.0,19.0
