YEAR,MAX,MIN
1946,41.4,28.4
1947,32.4,10.4
1948,43.3,21.4
1949,36.3,23.4
1950,33.4,26.4
1951,34.3,22.5
1952,26.4,21.4
1953,30.4,26.4
1954,42.4,33.4
1955,37.4,15.4
1956,35.4,15.4
1957,60.3,39.4
1958,27.3,12.0
1959,29.3,17.4
1960,60.4,45.0
1961,48.0,29.3
1962,50.4,28.9
1963,51.4,30.0
1964,54.3,22.3
1965,63.0,25.3
1966,55.9,42.1
1967,35.1,21.4
1968,43.3,28.4
1969,42.1,32.0
1973,54.0,47.8
1974,39.9,33.1
1975,35.1,28.9
1976,42.1,24.1
1977,28.0,7.9
1978,39.9,32.0
1979,46.9,34.9
1980,39.9,17.1
1981,46.0,32.9
1982,37.9,21.9
1983,51.1,30.0
1984,64.0,45.0
1985,39.0,23.0
1986,44.1,26.1
1987,43.0,37.9
1988,59.0,36.0
1989,63.0,25.0
1990,66.9,60.1
1991,43.0,33.1
1992,44.1,21.9
1993,43.0,19.0
1994,55.0,30.0
1995,50.0,32.0
1996,30.0,15.1
1997,44.1,28.0
1998,64.0,33.1
1999,48.0,32.0
2000,41.0,28.9
2001,52.0,36.0
2002,30.0,15.1
2003,48.0,32.0
2004,46.9,28.2
2005,52.0,37.0
2006,62.1,46.0
2007,36.0,28.0
2008,45.0,21.9
2009,42.1,28.9
2010,34.0,18.0
2011,55.9,37.0
2012,36.0,17.1
2013,34.0,12.9
2014,28.9,17.1
2015,60.1,34.0
2016,46.9,31.1
2017,55.9,27.1
2018,33.1,21.0
