YEAR,MAX,MIN
1947,59.4,44.4
1948,65.3,51.3
1949,62.4,31.3
1950,60.3,36.3
1951,50.4,35.4
1952,38.3,26.4
1953,50.4,34.3
1954,65.3,44.4
1955,68.4,50.4
1956,51.3,33.4
1957,48.4,31.3
1958,51.3,35.4
1959,44.4,26.1
1960,65.3,39.0
1961,51.4,32.0
1962,49.3,35.1
1963,53.4,26.4
1964,76.3,39.9
1965,75.0,48.9
1966,52.0,34.0
1967,46.0,30.9
1968,74.3,39.0
1969,52.3,36.0
1973,45.0,25.0
1974,64.9,50.0
1975,44.1,30.0
1976,72.0,34.0
1977,84.9,63.0
1978,61.9,43.0
1979,45.0,34.0
1980,45.0,28.9
1981,69.1,50.0
1982,48.0,28.0
1983,45.0,36.0
1984,55.9,34.0
1985,60.1,28.9
1986,66.0,28.9
1987,73.9,43.0
1988,54.0,37.0
1989,48.9,18.0
1990,48.0,32.0
1991,53.1,32.0
1992,69.1,41.0
1993,59.0,33.1
1994,53.1,39.9
1995,61.0,32.0
1996,81.0,46.9
1997,35.1,32.0
1998,66.0,35.1
1999,51.1,42.1
2000,39.9,33.1
2001,77.0,43.0
2002,75.0,50.0
2003,70.0,26.2
2004,55.0,30.0
2005,79.0,44.1
2006,73.9,50.0
2007,52.0,26.2
2008,64.0,37.0
2009,46.9,34.0
2010,73.9,37.9
2011,82.9,50.0
2012,54.0,32.0
2013,46.4,37.9
2014,70.0,37.0
2015,61.0,37.9
2016,51.1,33.1
2017,53.1,42.1
2018,66.0,28.2
