YEAR,MAX,MIN
1947,66.4,63.3
1949,75.4,52.3
1950,86.4,70.3
1951,85.3,72.3
1952,75.4,54.3
1953,83.3,67.3
1954,85.3,70.3
1955,92.3,74.3
1956,78.3,61.3
1957,84.4,65.3
1958,77.4,68.4
1959,88.3,64.9
1960,80.4,57.9
1961,84.9,70.0
1962,76.3,58.3
1963,84.4,68.4
1964,80.4,64.0
1965,75.0,62.1
1966,82.0,53.1
1967,81.0,66.9
1968,80.4,61.3
1969,82.0,70.0
1973,77.0,68.9
1974,79.0,55.9
1975,93.0,71.1
1976,86.0,66.9
1977,91.9,66.9
1978,80.1,52.0
1979,90.0,68.9
1980,89.1,62.1
1981,84.0,53.1
1982,84.9,63.0
1983,93.0,66.0
1984,86.0,50.0
1985,69.1,63.0
1986,89.1,60.1
1987,91.0,68.0
1988,95.0,64.0
1989,75.0,66.9
1990,79.0,55.0
1991,91.0,55.9
1992,75.0,57.9
1993,82.0,57.9
1994,86.0,57.0
1995,96.1,70.0
1996,73.0,57.9
1997,82.0,55.9
1998,78.1,62.1
1999,93.9,80.1
2000,73.9,66.0
2001,93.9,70.0
2002,93.0,71.1
2003,86.0,53.1
2004,84.0,63.0
2005,89.1,59.0
2006,99.0,75.9
2007,91.0,62.1
2008,88.0,71.6
2009,81.0,57.9
2010,79.0,64.4
2011,91.0,66.9
2012,91.9,68.0
2013,75.0,57.0
2014,84.0,59.0
2015,88.0,64.9
2016,81.0,64.9
2017,86.0,62.1
2018,82.0,62.1
