YEAR,MAX,MIN
1947,88.3,64.4
1948,91.2,69.3
1949,70.3,47.3
1950,78.3,63.3
1951,80.2,53.4
1952,64.4,44.4
1953,77.4,60.3
1954,81.3,61.3
1955,90.3,64.4
1956,60.3,53.4
1957,85.3,62.4
1958,71.2,49.3
1959,71.4,55.0
1960,71.1,59.4
1961,75.4,48.0
1962,66.9,39.4
1963,90.3,63.3
1964,75.4,62.1
1965,86.4,68.0
1966,71.1,62.1
1967,75.0,64.9
1968,63.0,59.0
1969,71.1,57.9
1973,68.0,46.0
1974,86.0,60.1
1975,73.9,61.0
1976,81.0,46.9
1977,79.0,64.9
1978,89.1,66.9
1979,77.9,50.0
1980,80.1,45.0
1981,75.9,42.1
1982,73.0,45.0
1983,84.0,61.0
1984,86.0,43.0
1985,87.1,66.0
1986,71.1,61.0
1987,71.1,51.1
1988,86.0,63.0
1989,78.1,52.0
1990,63.0,48.9
1991,54.0,39.9
1992,73.9,42.1
1993,68.0,50.0
1994,82.9,52.0
1995,69.1,44.1
1996,72.0,50.0
1997,82.9,69.8
1998,84.0,60.1
1999,79.0,48.9
2000,87.1,51.1
2001,69.1,55.0
2002,80.1,63.0
2003,81.0,54.0
2004,84.0,51.1
2005,84.0,54.0
2006,71.1,46.9
2007,88.0,63.0
2008,77.0,54.0
2009,79.0,50.0
2010,66.9,55.0
2011,69.1,55.0
2012,73.0,41.0
2013,84.0,60.1
2014,78.1,53.1
2015,73.9,57.0
2016,88.0,55.9
2017,79.0,57.9
2018,75.9,66.0
