YEAR,MAX,MIN
1946,57.4,48.4
1947,52.3,36.3
1948,55.4,33.4
1949,70.3,34.3
1950,52.3,35.4
1951,34.3,29.3
1952,48.4,20.3
1953,44.4,35.4
1954,57.4,29.3
1955,32.4,21.4
1956,49.3,36.3
1957,54.3,37.4
1958,53.4,24.4
1959,35.4,19.9
1960,43.3,26.1
1961,49.3,26.4
1962,52.3,39.4
1963,61.3,32.0
1964,59.4,46.4
1965,59.0,49.3
1966,70.0,50.0
1967,44.4,22.3
1968,46.0,35.4
1969,57.9,39.0
1973,43.0,32.0
1974,55.9,30.0
1975,66.9,62.1
1976,52.0,25.0
1977,59.0,52.9
1978,52.9,29.8
1979,52.9,29.8
1980,68.0,48.0
1981,59.0,29.8
1982,66.9,25.0
1983,53.1,46.0
1984,55.0,23.0
1985,55.0,36.0
1986,61.0,32.0
1987,55.9,28.9
1988,46.0,30.9
1989,48.9,41.0
1990,43.0,30.0
1991,36.0,12.9
1992,37.9,28.9
1993,39.9,16.0
1994,57.0,35.1
1995,50.0,30.9
1996,63.0,41.0
1997,46.9,43.0
1998,42.1,28.0
1999,55.9,34.0
2000,57.2,44.1
2001,68.0,33.1
2002,57.9,28.9
2003,45.0,28.0
2004,64.9,42.1
2005,62.1,37.9
2006,55.9,45.0
2007,45.0,30.9
2008,57.9,35.6
2009,70.0,52.0
2010,59.0,26.2
2011,59.0,41.0
2012,46.9,30.2
2013,57.0,30.0
2014,51.1,28.9
2015,64.9,36.0
2016,69.1,42.1
2017,45.0,33.1
2018,44.1,35.6
