YEAR,MAX,MIN
1947,77.4,48.4
1948,73.4,45.3
1949,88.3,70.3
1950,70.3,53.4
1951,77.4,68.4
1952,65.3,55.4
1953,100.2,77.4
1954,84.4,69.3
1955,87.3,64.4
1956,91.2,71.2
1957,85.3,55.4
1958,74.3,58.3
1959,78.4,66.0
1960,72.0,54.0
1961,65.3,47.3
1962,78.4,51.1
1963,75.0,46.4
1964,82.4,68.0
1965,82.9,66.9
1966,82.0,61.0
1967,79.0,64.9
1968,77.4,48.4
1969,66.0,49.3
1973,79.9,59.0
1974,90.0,61.0
1975,89.1,64.0
1976,78.1,50.9
1977,84.9,65.8
1978,80.1,59.9
1979,90.0,75.9
1980,75.0,43.0
1981,82.9,59.9
1982,75.9,52.0
1983,82.9,59.0
1984,82.9,55.9
1985,75.9,44.1
1986,91.9,60.1
1987,89.1,66.0
1988,102.9,71.1
1989,81.0,60.1
1990,79.0,52.0
1991,93.9,57.0
1992,66.9,50.0
1993,84.9,57.0
1994,88.0,65.8
1995,93.9,71.1
1996,82.0,64.0
1997,88.0,75.0
1998,89.1,66.0
1999,78.1,55.0
2000,81.0,52.0
2001,84.0,64.0
2002,90.0,72.0
2003,73.0,45.0
2004,73.0,48.0
2005,86.0,52.0
2006,87.1,63.0
2007,84.0,61.0
2008,82.0,52.0
2009,87.1,64.9
2010,84.9,64.0
2011,81.0,63.0
2012,95.0,77.0
2013,86.0,55.9
2014,84.9,59.0
2015,78.1,53.1
2016,91.9,78.1
2017,80.1,57.9
2018,81.0,63.0
